['661', '15', '310', '184', '875', '395', '861', '707', '559', '259', '86', '136', '841', '456', '653', '414', '161', '519', '804', '657', '258', '2', '329', '465', '347', '337', '776', '227', '278', '291', '522', '307', '757', '805', '818', '803', '699', '427', '37', '926', '303', '880', '312', '796', '626', '974', '870', '773', '279']
['627', '630', '528', '257', '643', '552', '272', '393', '609', '799', '689', '362', '513', '527', '420', '868', '733', '941', '582', '245', '367', '952', '722', '473', '189', '902', '41', '160', '651', '727', '675', '632', '478', '851', '66', '137', '815', '676', '568', '850', '476', '762', '326', '238', '821', '639', '514', '667', '764']
['105', '355', '842', '751', '176', '309', '553', '589', '166', '250', '128', '814', '605', '116', '853', '346', '951', '203', '545', '809', '516', '852', '335', '428', '81', '858', '783', '862', '662', '205', '29', '816', '682', '350', '143', '491', '269', '117', '570', '860', '262', '521', '647', '544', '963', '758', '403', '454', '372']
['218', '678', '197', '377', '30', '649', '769', '342', '148', '728', '645', '580', '942', '253', '249', '472', '341', '38', '736', '508', '958', '978', '370', '145', '749', '560', '503', '295', '112', '607', '932', '354', '282', '490', '959', '828', '221', '660', '150', '939', '450', '510', '397', '235', '58', '731', '376', '740', '267']
['539', '474', '437', '597', '523', '440', '130', '917', '296', '332', '674', '921', '498', '961', '918', '198', '453', '775', '957', '771', '298', '204', '181', '665', '371', '106', '640', '501', '882', '774', '504', '314', '714', '0', '206', '812', '433', '70', '874', '543', '251', '9', '622', '449', '791', '671', '223', '451', '893']
['328', '302', '217', '72', '572', '602', '778', '406', '608', '839', '431', '831', '131', '594', '485', '273', '578', '215', '928', '48', '69', '31', '950', '573', '74', '180', '230', '595', '276', '334', '389', '979', '159', '669', '311', '616', '817', '415', '748', '45', '969', '546', '924', '470', '520', '477', '631', '536', '767']
['780', '418', '292', '561', '620', '947', '624', '692', '447', '935', '696', '263', '946', '169', '333', '416', '44', '448', '576', '344', '459', '717', '656', '738', '12', '525', '294', '64', '834', '718', '121', '100', '685', '141', '247', '209', '518', '604', '246', '400', '14', '193', '687', '54', '838', '260', '786', '154', '140']
['885', '46', '593', '351', '664', '32', '97', '80', '147', '618', '286', '502', '887', '879', '5', '486', '34', '652', '419', '188', '240', '754', '962', '847', '586', '306', '6', '297', '460', '550', '494', '125', '953', '708', '122', '43', '59', '899', '954', '745', '690', '254', '554', '207', '396', '13', '908', '289', '322']
['538', '157', '387', '76', '96', '606', '542', '497', '162', '532', '747', '17', '19', '934', '248', '464', '381', '515', '579', '268', '107', '438', '63', '723', '859', '530', '705', '845', '10', '439', '797', '693', '47', '436', '811', '4', '507', '462', '584', '432', '533', '340', '114', '67', '364', '8', '562', '489', '698']
['411', '784', '288', '615', '633', '373', '940', '463', '108', '266', '313', '549', '881', '434', '743', '265', '826', '770', '938', '742', '363', '300', '277', '103', '876', '909', '752', '252', '390', '33', '164', '445', '788', '349', '779', '413', '241', '600', '732', '793', '612', '910', '124', '308', '379', '966', '343', '666', '833']
['585', '706', '171', '368', '900', '577', '336', '944', '557', '638', '95', '829', '151', '936', '898', '884', '378', '807', '802', '468', '212', '663', '724', '849', '179', '93', '208', '883', '704', '26', '195', '18', '479', '844', '886', '658', '760', '146', '911', '321', '283', '948', '505', '711', '91', '177', '25', '823', '506']
['836', '467', '492', '191', '892', '365', '264', '644', '68', '352', '856', '216', '275', '27', '338', '155', '402', '89', '907', '739', '429', '763', '119', '60', '534', '319', '61', '621', '927', '317', '255', '785', '913', '201', '943', '843', '79', '256', '348', '761', '679', '922', '772', '681', '777', '77', '625', '915', '526']
['417', '175', '837', '466', '628', '82', '695', '182', '588', '243', '691', '1', '710', '617', '83', '421', '170', '156', '42', '541', '827', '569', '469', '85', '835', '375', '318', '737', '185', '830', '642', '442', '359', '800', '129', '410', '7', '488', '599', '703', '581', '863', '28', '591', '356', '854', '380', '715', '87']
['726', '234', '583', '305', '729', '925', '232', '977', '567', '102', '404', '930', '211', '916', '202', '964', '603', '920', '611', '914', '57', '56', '144', '358', '458', '78', '629', '152', '697', '430', '730', '960', '551', '271', '619', '872', '746', '237', '871', '548', '929', '369', '199', '923', '819', '820', '24', '384', '174']
['529', '897', '65', '496', '36', '320', '62', '683', '655', '443', '744', '50', '702', '765', '482', '220', '360', '94', '109', '90', '725', '290', '23', '808', '701', '196', '386', '613', '686', '531', '759', '163', '113', '330', '866', '190', '455', '945', '345', '40', '315', '274', '84', '51', '766', '896', '680', '53', '55']
['965', '270', '905', '547', '846', '511', '183', '385', '224', '461', '226', '293', '210', '634', '976', '142', '955', '500', '452', '441', '889', '753', '118', '623', '735', '610', '495', '721', '571', '684', '956', '565', '261', '672', '20', '901', '75', '405', '135', '361', '39', '229', '480', '535', '912', '677', '111', '712', '524']
['394', '222', '219', '694', '139', '366', '178', '895', '475', '878', '123', '236', '280', '750', '864', '71', '574', '840', '768', '149', '153', '713', '423', '891', '323', '598', '537', '700', '650', '792', '3', '192', '213', '374', '242', '324', '200', '16', '73', '120', '435', '877', '587', '134', '596', '813', '165', '168', '110']
