['80', '244', '657', '336', '368', '413']
['710', '288', '294', '448', '469', '652']
['670', '417', '554', '47', '590', '24']
['701', '341', '242', '251', '279', '536']
['438', '431', '547', '650', '453', '127']
['409', '476', '520', '270', '118', '240']
['97', '663', '281', '277', '122', '64']
['436', '587', '609', '466', '206', '471']
['71', '517', '361', '391', '397', '480']
['313', '130', '695', '493', '429', '315']
['477', '335', '618', '50', '630', '291']
['620', '485', '524', '233', '389', '323']
['578', '285', '27', '698', '638', '661']
['677', '161', '686', '58', '310', '576']
['343', '595', '404', '597', '131', '100']
['535', '70', '112', '37', '708', '644']
['225', '450', '66', '218', '34', '635']
['79', '496', '456', '553', '699', '713']
['705', '544', '304', '165', '395', '505']
['12', '633', '556', '674', '189', '665']
['366', '459', '455', '271', '201', '514']
['370', '162', '182', '136', '637', '296']
['427', '26', '303', '250', '654', '25']
['360', '208', '351', '372', '369', '555']
['268', '512', '470', '183', '515', '434']
['284', '99', '198', '719', '172', '678']
['407', '507', '325', '301', '562', '484']
['163', '421', '247', '278', '44', '387']
['95', '702', '571', '442', '321', '641']
['584', '39', '501', '164', '231', '41']
['606', '461', '648', '65', '86', '408']
['593', '253', '17', '422', '668', '181']
['449', '72', '533', '188', '420', '273']
['504', '582', '8', '169', '488', '249']
['331', '62', '682', '207', '653', '166']
['700', '104', '642', '364', '40', '564']
['390', '462', '234', '600', '490', '401']
['186', '649', '565', '214', '54', '712']
['307', '497', '523', '412', '596', '205']
['9', '687', '703', '441', '200', '519']
['96', '322', '573', '500', '134', '77']
['640', '655', '98', '215', '197', '363']
['147', '534', '320', '13', '446', '415']
['599', '513', '356', '293', '386', '30']
['362', '660', '359', '541', '605', '265']
['7', '211', '697', '213', '23', '155']
['557', '56', '350', '646', '494', '220']
['76', '681', '78', '667', '14', '402']
['226', '374', '451', '135', '694', '376']
['140', '31', '42', '465', '85', '246']
['32', '552', '382', '75', '688', '559']
['194', '187', '603', '423', '503', '312']
['219', '349', '542', '647', '367', '718']
['472', '355', '608', '631', '388', '348']
['309', '36', '628', '53', '499', '90']
['280', '479', '444', '158', '680', '543']
['551', '659', '103', '594', '88', '11']
['255', '577', '0', '607', '371', '243']
['540', '383', '175', '545', '426', '318']
['111', '48', '509', '276', '632', '59']
['327', '316', '290', '38', '150', '106']
['149', '560', '398', '319', '506', '199']
['160', '458', '671', '715', '261', '614']
['403', '447', '232', '157', '539', '498']
['116', '602', '143', '141', '683', '110']
['405', '353', '237', '460', '229', '487']
['308', '685', '626', '492', '22', '192']
['445', '601', '568', '124', '121', '311']
['692', '550', '177', '212', '346', '305']
['580', '645', '611', '574', '1', '440']
['52', '537', '339', '482', '61', '6']
['83', '256', '89', '522', '588', '55']
['264', '167', '51', '624', '400', '297']
['623', '230', '286', '204', '478', '706']
['651', '612', '262', '432', '693', '138']
['21', '81', '329', '570', '716', '123']
['572', '684', '502', '227', '43', '94']
['306', '152', '334', '119', '252', '399']
['302', '257', '91', '4', '60', '464']
['139', '73', '46', '454', '84', '217']
['298', '236', '314', '154', '352', '486']
['153', '245', '209', '704', '132', '45']
['117', '20', '625', '173', '474', '137']
['711', '16', '616', '411', '679', '546']
['113', '689', '424', '669', '19', '532']
['428', '347', '566', '241', '272', '373']
['586', '525', '714', '93', '491', '185']
['439', '170', '191', '146', '430', '105']
['159', '579', '433', '120', '531', '558']
['35', '675', '549', '15', '126', '196']
['511', '224', '468', '473', '142', '184']
['538', '380', '269', '354', '193', '102']
['529', '324', '615', '591', '516', '340']
['275', '583', '483', '33', '109', '144']
['248', '392', '216', '528', '289', '101']
['375', '125', '221', '658', '394', '619']
['664', '263', '358', '299', '282', '639']
['467', '495', '672', '114', '300', '3']
['174', '223', '2', '627', '419', '707']
['5', '344', '190', '260', '28', '384']
['489', '396', '393', '222', '604', '202']
['333', '258', '443', '452', '617', '266']
['385', '228', '156', '292', '567', '622']
['287', '148', '416', '342', '585', '332']
['239', '691', '518', '92', '629', '414']
['569', '69', '357', '526', '49', '259']
['195', '365', '129', '613', '203', '530']
['610', '18', '457', '463', '410', '254']
['581', '527', '133', '563', '561', '128']
['575', '673', '656', '378', '662', '295']
['179', '326', '717', '379', '108', '643']
['328', '74', '481', '666', '337', '598']
['151', '634', '63', '82', '171', '377']
['621', '178', '589', '521', '283', '510']
['57', '345', '592', '381', '317', '267']
['690', '145', '68', '548', '168', '418']
['210', '406', '330', '696', '87', '115']
['29', '435', '709', '238', '67', '274']
['338', '676', '10', '437', '425', '475']
['180', '176', '508', '107', '636', '235']
