['436', '39', '387', '154', '212', '120', '817', '809', '300', '710', '324', '122', '411', '417', '68', '107', '776', '292', '200', '87', '594', '512', '133', '147', '766', '341', '80', '470', '296', '305', '613', '763', '564', '442', '386']
['357', '535', '700', '497', '570', '246', '17', '377', '456', '134', '359', '65', '495', '79', '446', '491', '437', '698', '654', '225', '161', '527', '556', '850', '31', '253', '308', '325', '264', '789', '769', '99', '58', '451', '83']
['464', '768', '787', '427', '587', '6', '208', '190', '622', '139', '311', '367', '820', '734', '781', '691', '739', '849', '770', '177', '91', '703', '590', '103', '165', '475', '608', '166', '681', '280', '72', '575', '676', '317', '720']
['222', '665', '183', '509', '630', '711', '533', '229', '692', '778', '41', '0', '531', '346', '599', '74', '637', '236', '121', '372', '628', '586', '108', '801', '278', '230', '283', '592', '106', '815', '740', '45', '123', '593', '251']
['560', '203', '231', '468', '729', '709', '94', '714', '448', '234', '792', '226', '40', '169', '303', '530', '297', '804', '219', '112', '685', '76', '557', '63', '157', '659', '585', '356', '603', '397', '29', '118', '777', '552', '503']
['360', '647', '459', '402', '176', '9', '855', '547', '559', '273', '345', '588', '833', '453', '827', '425', '845', '159', '49', '617', '149', '184', '349', '783', '75', '351', '337', '373', '569', '818', '355', '644', '747', '14', '163']
['434', '127', '441', '69', '109', '455', '689', '743', '694', '282', '616', '368', '295', '206', '488', '276', '775', '696', '621', '615', '762', '328', '506', '340', '574', '735', '677', '235', '816', '25', '695', '543', '90', '701', '354']
['224', '686', '294', '126', '332', '8', '780', '105', '847', '172', '227', '419', '645', '267', '463', '724', '671', '309', '828', '832', '505', '540', '390', '145', '661', '205', '171', '756', '678', '287', '666', '216', '478', '86', '519']
['307', '182', '624', '117', '578', '262', '639', '188', '67', '708', '420', '489', '70', '214', '604', '422', '57', '715', '655', '388', '444', '399', '310', '635', '761', '142', '301', '114', '611', '454', '327', '421', '723', '248', '721']
['432', '400', '555', '699', '71', '338', '281', '11', '290', '46', '601', '697', '631', '320', '653', '181', '141', '260', '185', '844', '554', '153', '430', '269', '221', '209', '742', '799', '579', '78', '760', '299', '690', '140', '632']
['113', '244', '447', '508', '412', '12', '426', '132', '793', '286', '795', '398', '551', '239', '138', '520', '810', '550', '485', '194', '573', '44', '33', '662', '507', '702', '116', '481', '211', '32', '730', '291', '516', '404', '598']
['629', '155', '364', '510', '538', '353', '614', '487', '198', '669', '347', '548', '348', '240', '785', '626', '342', '277', '513', '633', '52', '713', '486', '199', '443', '319', '196', '571', '823', '393', '673', '369', '643', '321', '750']
['26', '189', '771', '462', '220', '528', '151', '256', '128', '152', '466', '664', '800', '237', '186', '568', '271', '744', '394', '115', '304', '36', '379', '562', '521', '584', '532', '674', '610', '125', '378', '782', '835', '807', '293']
['802', '843', '541', '146', '688', '650', '81', '808', '16', '765', '582', '104', '28', '20', '607', '479', '7', '811', '180', '66', '361', '501', '716', '693', '477', '609', '201', '755', '752', '848', '21', '529', '704', '656', '202']
['429', '646', '366', '457', '836', '250', '732', '814', '59', '576', '839', '450', '791', '100', '254', '164', '213', '124', '170', '514', '129', '612', '197', '675', '403', '285', '407', '279', '737', '259', '218', '824', '272', '316', '749']
['13', '572', '408', '642', '43', '496', '842', '195', '174', '298', '563', '245', '148', '523', '465', '484', '405', '623', '261', '757', '61', '672', '539', '476', '649', '831', '511', '363', '102', '670', '794', '472', '383', '370', '162']
['480', '331', '396', '64', '384', '362', '544', '589', '136', '634', '449', '144', '249', '215', '416', '375', '333', '467', '252', '207', '741', '48', '600', '837', '717', '284', '389', '130', '754', '10', '223', '391', '413', '854', '343']
['596', '784', '581', '34', '726', '415', '37', '62', '636', '803', '258', '826', '482', '210', '167', '772', '718', '233', '247', '318', '805', '352', '424', '822', '687', '95', '834', '682', '243', '97', '55', '54', '663', '401', '728']
['173', '445', '110', '406', '323', '85', '773', '302', '683', '471', '733', '339', '821', '143', '606', '19', '313', '82', '813', '179', '852', '738', '263', '15', '150', '731', '175', '101', '60', '53', '431', '746', '524', '759', '566']
['502', '111', '460', '409', '758', '84', '35', '156', '640', '841', '657', '838', '627', '93', '667', '722', '545', '289', '583', '748', '536', '652', '42', '595', '73', '553', '602', '410', '306', '1', '89', '418', '605', '433', '238']
['648', '382', '92', '499', '829', '47', '580', '270', '515', '668', '660', '414', '779', '825', '797', '4', '381', '786', '330', '376', '790', '493', '549', '232', '2', '651', '322', '558', '217', '819', '638', '725', '158', '620', '483']
['458', '618', '788', '228', '745', '537', '24', '774', '314', '680', '191', '178', '423', '312', '358', '846', '23', '561', '474', '641', '452', '160', '119', '326', '727', '517', '619', '440', '469', '591', '851', '38', '435', '840', '707']
['712', '565', '767', '764', '798', '385', '577', '751', '30', '546', '274', '461', '27', '500', '365', '796', '705', '275', '265', '736', '22', '706', '719', '522', '56', '428', '498', '96', '88', '625', '853', '473', '350', '5', '334']
['380', '18', '392', '344', '492', '266', '374', '168', '187', '288', '137', '131', '534', '494', '371', '336', '518', '490', '806', '241', '684', '3', '192', '439', '526', '329', '395', '77', '204', '679', '193', '242', '268', '597', '812']
['658', '257', '51', '315', '567', '542', '135', '255', '438', '525', '50', '753', '335', '98', '504', '830']
