['281', '357', '338', '989', '700', '107', '592', '735', '585', '860', '502', '761', '80', '953', '542', '207', '785', '718', '507', '834', '339', '6', '595', '423', '969']
['196', '778', '900', '929', '163', '538', '747', '901', '894', '66', '355', '249', '503', '843', '662', '265', '988', '218', '547', '288', '861', '922', '304', '657', '108']
['333', '658', '582', '473', '374', '212', '993', '362', '245', '819', '756', '94', '732', '145', '981', '132', '469', '982', '47', '64', '143', '429', '665', '877', '118']
['591', '964', '234', '721', '89', '666', '271', '607', '991', '869', '626', '766', '169', '836', '793', '856', '632', '655', '222', '540', '803', '972', '868', '677', '774']
['87', '602', '959', '117', '725', '323', '100', '176', '522', '847', '512', '514', '425', '600', '243', '135', '556', '9', '905', '97', '82', '324', '941', '291', '992']
['408', '886', '920', '754', '296', '263', '441', '806', '210', '817', '611', '346', '978', '775', '669', '289', '798', '557', '320', '62', '896', '177', '75', '791', '800']
['597', '446', '416', '532', '918', '204', '640', '411', '88', '410', '943', '230', '464', '161', '295', '997', '138', '286', '578', '168', '870', '137', '639', '14', '487']
['645', '328', '752', '162', '621', '770', '949', '934', '921', '587', '96', '17', '200', '21', '48', '258', '636', '248', '214', '733', '701', '344', '580', '915', '873']
['890', '151', '11', '629', '413', '750', '370', '178', '270', '343', '140', '310', '705', '472', '678', '313', '266', '172', '150', '352', '225', '127', '98', '933', '53']
['838', '864', '940', '892', '841', '521', '448', '510', '223', '656', '187', '136', '523', '372', '829', '166', '44', '663', '529', '724', '405', '65', '455', '406', '316']
['437', '363', '575', '84', '460', '786', '367', '418', '839', '763', '299', '412', '386', '13', '539', '438', '105', '980', '596', '537', '391', '480', '330', '671', '27']
['348', '975', '973', '564', '996', '70', '653', '693', '7', '25', '874', '647', '976', '837', '563', '685', '625', '402', '695', '400', '282', '895', '649', '554', '749']
['813', '508', '961', '676', '938', '188', '720', '110', '551', '616', '183', '912', '124', '273', '272', '436', '300', '832', '549', '52', '276', '745', '610', '620', '72']
['534', '831', '285', '283', '16', '34', '711', '226', '576', '939', '123', '5', '246', '946', '622', '159', '776', '652', '672', '113', '359', '384', '544', '734', '115']
['906', '955', '674', '383', '854', '827', '3', '737', '259', '548', '368', '489', '409', '931', '369', '440', '203', '326', '787', '764', '198', '394', '12', '899', '54']
['878', '708', '731', '60', '689', '983', '739', '675', '753', '814', '594', '390', '519', '395', '631', '783', '478', '820', '822', '986', '966', '182', '767', '194', '967']
['192', '738', '39', '264', '366', '233', '342', '881', '577', '40', '911', '498', '211', '229', '458', '10', '692', '83', '824', '898', '788', '852', '305', '571', '427']
['942', '235', '393', '376', '527', '945', '179', '781', '158', '337', '301', '287', '199', '275', '104', '195', '252', '41', '768', '925', '205', '290', '566', '450', '722']
['679', '729', '481', '623', '759', '968', '453', '589', '741', '744', '95', '927', '171', '58', '520', '755', '457', '642', '635', '558', '496', '780', '699', '605', '46']
['844', '228', '308', '232', '546', '697', '533', '114', '821', '186', '260', '505', '277', '624', '497', '279', '828', '197', '112', '687', '377', '504', '358', '746', '913']
['730', '482', '879', '50', '962', '559', '149', '944', '593', '19', '465', '495', '805', '396', '345', '237', '38', '470', '586', '726', '184', '91', '20', '85', '916']
['71', '743', '206', '516', '365', '382', '253', '694', '466', '56', '999', '244', '4', '723', '634', '581', '474', '426', '154', '407', '201', '129', '956', '175', '314']
['31', '433', '185', '583', '167', '936', '977', '306', '278', '379', '965', '332', '224', '910', '174', '485', '294', '454', '995', '618', '424', '818', '664', '256', '654']
['919', '388', '651', '716', '267', '109', '771', '908', '309', '985', '236', '29', '111', '712', '646', '269', '341', '351', '28', '719', '509', '378', '103', '231', '562']
['935', '493', '633', '866', '73', '897', '804', '638', '78', '826', '599', '280', '601', '835', '682', '432', '439', '670', '902', '796', '160', '170', '119', '998', '536']
['153', '570', '415', '120', '389', '141', '643', '142', '419', '535', '164', '590', '59', '257', '146', '840', '79', '37', '851', '579', '567', '830', '948', '630', '917']
['893', '769', '356', '461', '937', '431', '128', '707', '926', '784', '486', '428', '242', '491', '101', '404', '681', '947', '148', '627', '994', '952', '872', '740', '970']
['255', '331', '239', '99', '883', '891', '871', '8', '561', '420', '667', '32', '797', '588', '462', '849', '500', '960', '765', '445', '42', '525', '26', '202', '865']
['714', '385', '155', '555', '23', '468', '748', '515', '488', '706', '375', '660', '57', '213', '76', '221', '334', '950', '208', '833', '18', '876', '858', '954', '449']
['924', '347', '492', '930', '816', '220', '808', '792', '573', '777', '318', '238', '795', '63', '617', '74', '1', '606', '241', '284', '315', '506', '802', '661', '43']
['565', '615', '92', '414', '524', '274', '227', '298', '704', '909', '371', '180', '971', '477', '102', '758', '614', '422', '45', '434', '799', '90', '526', '648', '292']
['240', '30', '340', '560', '173', '584', '603', '728', '553', '686', '751', '848', '855', '727', '782', '990', '888', '932', '619', '903', '490', '710', '354', '303', '471']
['541', '779', '399', '476', '336', '251', '216', '484', '598', '319', '165', '181', '612', '914', '823', '483', '789', '15', '773', '254', '262', '812', '794', '702', '979']
['297', '815', '760', '887', '193', '951', '327', '61', '690', '857', '604', '762', '825', '373', '189', '452', '644', '122', '479', '147', '688', '974', '350', '790', '444']
['302', '247', '139', '421', '125', '904', '698', '499', '757', '22', '380', '93', '545', '156', '569', '77', '907', '353', '713', '250', '157', '957', '144', '963', '68']
['628', '517', '650', '401', '923', '430', '443', '715', '880', '984', '680', '447', '381', '475', '987', '859', '494', '397', '2', '882', '531', '709', '863', '501', '360']
['543', '641', '742', '435', '889', '467', '190', '568', '456', '268', '417', '86', '867', '613', '683', '807', '696', '293', '209', '518', '574', '608', '152', '772', '703']
['0', '684', '398', '673', '463', '387', '846', '69', '875', '442', '811', '317', '459', '307', '36', '958', '106', '261', '609', '130', '131', '511', '126', '552', '311']
['133', '24', '717', '810', '325', '845', '842', '668', '801', '67', '219', '134', '322', '530', '116', '451', '392', '364', '513', '885', '349', '321', '403', '659', '853']
['121', '637', '736', '862', '691', '55', '51', '329', '81', '312', '928', '361', '35', '884', '33', '528', '809', '215', '217', '550', '191', '572', '850', '335', '49']
