['639', '729', '613', '643', '201', '472', '662', '624', '371', '712', '2', '342', '616', '775', '387', '705', '817', '584', '450', '787', '337', '781', '243', '840', '165', '322', '565', '45', '437', '647', '851']
['798', '321', '68', '764', '847', '685', '763', '436', '714', '572', '162', '338', '691', '734', '430', '648', '414', '151', '947', '936', '905', '557', '879', '357', '574', '236', '593', '523', '8', '744', '914']
['853', '659', '456', '891', '526', '580', '4', '293', '365', '751', '529', '446', '103', '294', '803', '117', '650', '937', '767', '660', '782', '444', '728', '37', '724', '918', '700', '871', '756', '494', '319']
['498', '640', '882', '566', '386', '309', '69', '215', '154', '592', '870', '314', '449', '193', '102', '22', '921', '679', '869', '809', '289', '74', '23', '692', '701', '604', '826', '802', '582', '418', '468']
['225', '409', '260', '221', '703', '591', '887', '329', '224', '885', '513', '349', '598', '731', '340', '771', '958', '372', '467', '806', '759', '163', '920', '273', '850', '830', '304', '791', '32', '287', '833']
['433', '277', '395', '718', '717', '98', '428', '159', '657', '755', '877', '774', '392', '285', '11', '310', '846', '246', '179', '211', '540', '36', '783', '169', '67', '119', '66', '116', '132', '730', '866']
['291', '150', '363', '793', '296', '384', '594', '663', '747', '266', '676', '933', '875', '209', '317', '184', '47', '152', '188', '736', '368', '191', '777', '924', '195', '134', '680', '43', '318', '426', '60']
['614', '187', '79', '330', '390', '474', '394', '0', '143', '28', '789', '235', '496', '695', '711', '674', '892', '603', '257', '868', '261', '107', '824', '64', '141', '664', '81', '441', '917', '558', '912']
['158', '908', '897', '716', '149', '632', '508', '339', '672', '288', '579', '642', '300', '84', '638', '230', '312', '504', '710', '551', '298', '786', '612', '521', '86', '205', '124', '563', '295', '740', '630']
['864', '779', '355', '123', '617', '886', '157', '556', '872', '356', '491', '561', '29', '722', '174', '369', '857', '836', '942', '24', '303', '553', '41', '723', '44', '822', '228', '333', '621', '790', '120']
['532', '609', '366', '20', '619', '464', '900', '677', '843', '949', '227', '620', '761', '9', '393', '171', '687', '218', '203', '35', '359', '389', '854', '56', '534', '633', '531', '247', '570', '520', '238']
['242', '825', '590', '881', '61', '581', '27', '481', '1', '87', '76', '515', '538', '328', '12', '669', '77', '606', '206', '546', '90', '376', '506', '173', '239', '746', '292', '71', '707', '684', '599']
['352', '190', '618', '210', '457', '331', '208', '811', '605', '939', '738', '813', '118', '932', '535', '274', '381', '461', '72', '511', '821', '646', '383', '874', '417', '588', '568', '412', '943', '796', '440']
['589', '254', '80', '693', '827', '126', '834', '408', '888', '542', '167', '754', '180', '177', '264', '610', '147', '142', '938', '279', '896', '856', '267', '172', '451', '525', '541', '54', '823', '245', '549']
