['336', '623', '335']
['713', '100', '938']
['768', '30', '220']
['863', '273', '325']
['441', '321', '549']
['740', '472', '783']
['139', '201', '225']
['735', '685', '654']
['852', '796', '69']
['968', '912', '176']
['834', '268', '613']
['253', '943', '787']
['670', '68', '827']
['996', '644', '804']
['329', '205', '534']
['109', '288', '195']
['454', '993', '120']
['320', '849', '463']
['121', '239', '291']
['531', '830', '676']
['31', '518', '168']
['178', '231', '700']
['545', '998', '324']
['386', '588', '988']
['479', '516', '369']
['843', '175', '173']
['439', '860', '251']
['825', '511', '682']
['829', '294', '415']
['293', '675', '665']
['734', '397', '241']
['304', '810', '172']
['147', '876', '442']
['182', '438', '186']
['985', '494', '179']
['681', '207', '365']
['505', '450', '33']
['791', '19', '650']
['542', '990', '850']
['66', '997', '576']
['497', '648', '118']
['789', '349', '888']
['706', '767', '258']
['216', '117', '556']
['668', '855', '138']
['224', '163', '308']
['54', '128', '821']
['381', '581', '528']
['695', '927', '606']
['884', '833', '922']
['328', '83', '214']
['921', '453', '880']
['462', '919', '548']
['657', '574', '557']
['785', '544', '260']
['646', '413', '81']
['999', '246', '276']
['714', '34', '143']
['959', '561', '747']
['376', '600', '870']
['480', '340', '759']
['55', '79', '372']
['626', '584', '75']
['628', '501', '404']
['859', '227', '962']
['482', '616', '218']
['939', '389', '80']
['666', '236', '130']
['712', '689', '864']
['437', '99', '925']
['537', '890', '468']
['491', '645', '868']
['798', '347', '440']
['36', '671', '57']
['302', '361', '44']
['752', '229', '984']
['493', '563', '525']
['792', '805', '341']
['708', '391', '4']
['240', '346', '694']
['159', '133', '499']
['85', '898', '338']
['384', '869', '738']
['942', '217', '144']
['969', '427', '929']
['254', '621', '964']
['944', '761', '837']
['169', '5', '643']
['640', '141', '129']
['568', '624', '313']
['379', '782', '934']
['309', '741', '322']
['839', '562', '196']
['256', '134', '311']
['928', '795', '110']
['458', '705', '991']
['248', '123', '125']
['745', '190', '426']
['408', '32', '142']
['445', '930', '285']
['746', '914', '779']
['831', '112', '344']
['238', '279', '416']
['192', '896', '378']
['530', '732', '348']
['243', '424', '560']
['484', '966', '208']
['157', '230', '573']
['680', '58', '316']
['271', '407', '813']
['642', '847', '820']
['554', '280', '352']
['14', '559', '727']
['465', '945', '419']
['940', '266', '111']
['59', '871', '951']
['543', '93', '976']
['757', '269', '373']
['693', '451', '267']
['337', '571', '448']
['150', '815', '422']
['838', '504', '954']
['23', '651', '295']
['566', '883', '367']
['223', '716', '814']
['502', '916', '981']
['257', '800', '614']
['886', '106', '398']
['848', '753', '608']
['71', '299', '764']
['601', '722', '412']
['835', '210', '16']
['647', '806', '635']
['577', '319', '533']
['297', '532', '773']
['802', '775', '237']
['289', '282', '619']
['455', '961', '766']
['598', '423', '457']
['281', '315', '594']
['187', '836', '46']
['353', '726', '678']
['667', '905', '126']
['509', '508', '89']
['913', '197', '333']
['213', '656', '160']
['343', '449', '370']
['538', '185', '284']
['760', '956', '652']
['512', '638', '707']
['585', '674', '817']
['270', '634', '718']
['245', '102', '622']
['432', '510', '39']
['823', '447', '683']
['22', '631', '371']
['124', '586', '887']
['946', '70', '467']
['394', '10', '318']
['233', '364', '627']
['403', '558', '840']
['891', '790', '639']
['904', '115', '421']
['582', '547', '744']
['899', '418', '924']
['330', '446', '506']
['131', '470', '719']
['151', '743', '86']
['395', '786', '103']
['355', '303', '958']
['885', '165', '489']
['749', '466', '948']
['255', '970', '261']
['399', '155', '892']
['452', '872', '409']
['770', '339', '963']
['166', '861', '435']
['587', '522', '98']
['9', '490', '476']
['72', '8', '170']
['149', '797', '49']
['960', '388', '38']
['728', '3', '135']
['819', '867', '658']
['193', '327', '550']
['174', '77', '711']
['808', '590', '278']
['690', '615', '312']
['758', '669', '259']
['529', '733', '629']
['127', '145', '949']
['194', '662', '156']
['272', '7', '411']
['298', '277', '377']
['471', '483', '6']
['750', '832', '37']
['436', '799', '495']
['704', '107', '565']
['65', '603', '780']
['975', '262', '375']
['400', '119', '263']
['679', '140', '841']
['894', '101', '200']
['428', '487', '772']
['901', '402', '53']
['162', '947', '264']
['18', '609', '762']
['818', '136', '78']
['13', '730', '50']
['420', '242', '569']
['204', '95', '108']
['250', '84', '717']
['663', '748', '701']
['164', '878', '633']
['906', '114', '803']
['877', '301', '26']
['604', '784', '342']
['660', '67', '177']
['513', '82', '105']
['879', '931', '28']
['986', '152', '637']
['76', '977', '356']
['113', '844', '380']
['965', '153', '461']
['332', '392', '283']
['649', '73', '687']
['116', '664', '62']
['769', '971', '417']
['35', '677', '383']
['51', '845', '56']
['122', '396', '842']
['696', '957', '198']
['74', '720', '21']
['907', '620', '406']
['354', '596', '908']
['967', '314', '521']
['917', '731', '599']
['589', '148', '498']
['459', '286', '910']
['555', '481', '854']
['199', '592', '92']
['221', '953', '578']
['625', '754', '425']
['952', '469', '918']
['296', '503', '290']
['345', '794', '575']
['96', '926', '232']
['771', '935', '900']
['895', '234', '247']
['822', '950', '809']
['715', '252', '873']
['228', '702', '132']
['781', '724', '20']
['709', '546', '992']
['659', '756', '473']
['434', '807', '363']
['181', '607', '989']
['874', '853', '88']
['595', '736', '310']
['212', '856', '382']
['61', '686', '567']
['653', '431', '763']
['29', '579', '973']
['25', '433', '206']
['43', '362', '265']
['191', '287', '202']
['932', '366', '52']
['774', '87', '410']
['751', '209', '48']
['474', '824', '937']
['865', '323', '317']
['183', '597', '414']
['64', '1', '306']
['583', '90', '244']
['816', '27', '553']
['429', '857', '326']
['94', '788', '739']
['858', '987', '983']
['641', '692', '541']
