['333', '686', '75', '133', '597', '341', '413']
['142', '679', '602', '573', '353', '135', '517']
['219', '258', '460', '97', '109', '492', '543']
['69', '506', '658', '124', '580', '577', '521']
['295', '457', '400', '225', '328', '498', '220']
['217', '206', '15', '642', '659', '179', '407']
['9', '480', '423', '608', '435', '22', '137']
['31', '395', '585', '354', '10', '277', '251']
['363', '688', '212', '403', '76', '514', '162']
['627', '355', '184', '587', '612', '421', '168']
['564', '284', '285', '518', '329', '190', '102']
['379', '169', '645', '3', '103', '128', '661']
['531', '644', '149', '513', '344', '226', '451']
['198', '378', '674', '481', '351', '65', '471']
['52', '269', '191', '246', '505', '673', '388']
['297', '143', '160', '676', '515', '26', '458']
['630', '183', '233', '218', '230', '360', '369']
['174', '510', '356', '113', '529', '224', '302']
['1', '599', '300', '80', '616', '236', '652']
['370', '84', '409', '615', '631', '310', '177']
['560', '683', '625', '346', '463', '241', '165']
['50', '340', '195', '425', '405', '542', '371']
['215', '248', '274', '632', '54', '294', '199']
['459', '399', '99', '19', '141', '565', '566']
['682', '569', '610', '139', '13', '327', '392']
['684', '298', '325', '449', '634', '476', '536']
['576', '175', '527', '83', '578', '138', '28']
['222', '62', '593', '386', '588', '402', '37']
['81', '422', '384', '275', '98', '387', '114']
['572', '188', '376', '570', '154', '499', '523']
['266', '699', '59', '538', '468', '656', '530']
['288', '445', '343', '276', '433', '45', '629']
['533', '180', '129', '164', '381', '441', '229']
['132', '626', '348', '385', '88', '667', '653']
['163', '11', '17', '643', '391', '161', '72']
['600', '582', '48', '485', '53', '696', '110']
['475', '79', '461', '134', '267', '503', '535']
['202', '477', '313', '335', '197', '439', '512']
['123', '695', '526', '242', '431', '662', '315']
['574', '339', '470', '596', '92', '494', '544']
['552', '337', '196', '131', '609', '448', '567']
['519', '104', '534', '148', '690', '670', '194']
['428', '247', '581', '410', '583', '639', '352']
['136', '540', '698', '305', '66', '213', '440']
['216', '382', '398', '200', '265', '317', '282']
['181', '537', '209', '411', '489', '55', '21']
['120', '111', '563', '496', '434', '453', '420']
['650', '484', '550', '372', '96', '319', '488']
['107', '252', '502', '635', '450', '286', '697']
['557', '67', '520', '27', '655', '130', '56']
['73', '380', '145', '404', '649', '278', '90']
['426', '221', '389', '680', '232', '438', '424']
['651', '299', '306', '254', '82', '595', '74']
['681', '693', '155', '245', '603', '374', '185']
['127', '443', '303', '478', '555', '173', '554']
['617', '256', '618', '571', '63', '68', '140']
['660', '283', '664', '204', '326', '606', '42']
['255', '7', '260', '672', '106', '666', '187']
['365', '273', '60', '40', '559', '665', '20']
['507', '368', '243', '375', '454', '687', '89']
['562', '105', '18', '604', '394', '584', '479']
['57', '541', '312', '77', '262', '350', '34']
['338', '474', '259', '501', '320', '432', '157']
['322', '78', '41', '430', '253', '336', '483']
['2', '640', '406', '553', '146', '487', '497']
['594', '545', '678', '93', '396', '287', '116']
['214', '601', '347', '290', '447', '14', '308']
['91', '210', '390', '94', '152', '491', '61']
['500', '39', '150', '49', '189', '87', '689']
['486', '418', '5', '465', '446', '166', '108']
['677', '234', '466', '311', '342', '38', '207']
['694', '437', '261', '568', '613', '648', '467']
['525', '620', '223', '611', '427', '307', '263']
['323', '249', '4', '280', '115', '272', '528']
['628', '621', '51', '296', '605', '524', '159']
['373', '532', '633', '669', '358', '641', '357']
['144', '575', '493', '293', '0', '193', '30']
['556', '589', '383', '192', '231', '271', '462']
['244', '170', '590', '419', '279', '685', '675']
['12', '158', '201', '8', '598', '549', '44']
['176', '324', '361', '579', '46', '172', '43']
['551', '227', '100', '238', '349', '607', '546']
['64', '429', '23', '316', '586', '456', '401']
['393', '623', '153', '377', '452', '147', '364']
['622', '250', '289', '516', '592', '692', '85']
['117', '414', '668', '122', '547', '211', '636']
['397', '171', '257', '270', '408', '35', '309']
['638', '178', '121', '240', '417', '464', '281']
['118', '539', '24', '58', '112', '71', '482']
['415', '508', '25', '126', '95', '156', '6']
['304', '70', '654', '301', '268', '125', '237']
['47', '469', '239', '151', '490', '637', '331']
['235', '691', '416', '561', '558', '29', '334']
['657', '367', '442', '362', '205', '444', '186']
['182', '504', '647', '321', '671', '36', '436']
['203', '33', '16', '330', '591', '548', '314']
['472', '359', '663', '511', '318', '495', '86']
['366', '624', '291', '509', '292', '522', '646']
['32', '119', '345', '228', '614', '473', '455']
['264', '101', '619', '208', '412', '167', '332']
