['963', '456', '466', '11', '226', '148', '996', '565', '601', '776', '126', '47', '54', '397', '629', '433', '947', '617', '810', '246', '983', '463', '521', '436', '836', '800', '869', '770', '995', '944', '801', '514', '626', '825', '492', '901', '913', '191', '911', '321', '989', '512', '771', '951', '234', '552', '129', '759', '380', '389']
['383', '446', '155', '724', '33', '19', '598', '136', '566', '786', '898', '486', '124', '866', '690', '374', '215', '802', '368', '588', '942', '120', '345', '712', '549', '791', '773', '497', '294', '895', '670', '824', '364', '132', '896', '142', '134', '976', '977', '74', '395', '779', '50', '903', '592', '175', '343', '107', '324', '619']
['242', '251', '784', '575', '480', '513', '212', '196', '292', '76', '851', '720', '84', '412', '122', '398', '969', '993', '317', '261', '266', '24', '777', '504', '526', '571', '75', '464', '30', '873', '585', '753', '697', '682', '621', '247', '468', '393', '934', '213', '576', '933', '888', '26', '12', '108', '957', '510', '618', '547']
['694', '105', '249', '692', '414', '781', '639', '803', '705', '939', '534', '254', '444', '214', '754', '919', '98', '388', '739', '544', '593', '102', '443', '131', '931', '879', '797', '467', '554', '665', '582', '722', '979', '150', '502', '300', '729', '293', '818', '415', '785', '6', '248', '471', '846', '417', '340', '609', '811', '478']
['252', '115', '577', '410', '915', '634', '451', '128', '689', '959', '382', '308', '742', '999', '839', '197', '558', '346', '699', '652', '490', '304', '658', '193', '912', '583', '288', '31', '287', '56', '173', '765', '894', '310', '268', '718', '625', '986', '627', '473', '87', '49', '23', '147', '222', '960', '496', '123', '954', '756']
['842', '655', '223', '48', '921', '70', '493', '587', '932', '975', '623', '698', '4', '545', '1', '703', '602', '426', '704', '498', '396', '580', '560', '586', '18', '683', '377', '195', '352', '328', '355', '407', '678', '679', '643', '72', '745', '62', '28', '856', '442', '918', '278', '25', '710', '790', '199', '272', '833', '590']
['937', '158', '303', '37', '556', '553', '573', '385', '732', '908', '958', '279', '482', '372', '721', '686', '113', '465', '360', '283', '301', '734', '936', '642', '390', '479', '702', '121', '8', '309', '505', '165', '775', '423', '167', '290', '899', '5', '792', '557', '318', '962', '409', '63', '876', '127', '992', '55', '614', '209']
['373', '255', '883', '296', '184', '253', '834', '551', '235', '459', '849', '110', '716', '27', '772', '569', '119', '538', '723', '103', '928', '562', '379', '885', '69', '237', '327', '311', '507', '922', '20', '221', '638', '978', '967', '358', '536', '973', '878', '522', '671', '93', '487', '854', '71', '244', '350', '599', '612', '570']
['607', '940', '46', '559', '760', '206', '953', '633', '495', '189', '421', '179', '42', '326', '434', '484', '584', '500', '203', '994', '285', '286', '965', '420', '270', '535', '840', '419', '714', '125', '413', '927', '224', '503', '204', '524', '725', '353', '735', '531', '970', '64', '952', '229', '260', '313', '236', '280', '10', '177']
['546', '826', '77', '789', '615', '532', '687', '130', '416', '185', '455', '315', '332', '543', '281', '567', '624', '306', '90', '92', '162', '636', '622', '32', '276', '475', '829', '988', '707', '151', '508', '437', '111', '877', '7', '506', '157', '60', '880', '997', '299', '163', '672', '971', '458', '713', '337', '440', '886', '645']
['145', '523', '740', '875', '701', '106', '370', '589', '225', '445', '282', '646', '302', '841', '137', '366', '644', '917', '744', '174', '677', '748', '631', '298', '813', '837', '943', '57', '323', '216', '488', '362', '717', '660', '78', '591', '661', '363', '454', '82', '850', '605', '450', '874', '307', '361', '887', '469', '941', '906']
