['912', '685', '898', '716', '544', '487', '570', '928', '932', '332', '686', '232', '108', '731', '283', '986', '706', '784', '125', '585']
['598', '520', '331', '60', '183', '905', '743', '151', '181', '325', '647', '237', '816', '729', '926', '500', '839', '869', '534', '946']
['184', '315', '236', '889', '306', '755', '205', '775', '133', '768', '560', '397', '521', '719', '147', '937', '728', '674', '123', '32']
['666', '925', '161', '179', '688', '56', '553', '261', '271', '62', '588', '810', '78', '958', '101', '887', '476', '656', '992', '63']
['9', '336', '582', '92', '860', '29', '280', '363', '146', '443', '53', '134', '891', '174', '175', '194', '690', '348', '219', '904']
['857', '136', '475', '562', '389', '739', '901', '819', '324', '939', '256', '70', '870', '947', '457', '233', '608', '921', '838', '623']
['424', '216', '695', '74', '981', '287', '436', '110', '39', '458', '783', '396', '617', '485', '213', '187', '511', '803', '996', '967']
['145', '463', '634', '202', '679', '795', '170', '936', '99', '243', '217', '654', '372', '872', '502', '830', '808', '334', '168', '309']
['432', '17', '897', '7', '910', '201', '340', '434', '310', '515', '737', '277', '102', '380', '533', '915', '338', '723', '998', '131']
['49', '948', '112', '929', '290', '652', '314', '669', '972', '974', '435', '712', '547', '423', '148', '512', '853', '395', '477', '997']
['563', '21', '786', '879', '504', '52', '288', '98', '640', '117', '127', '725', '873', '383', '683', '675', '370', '756', '890', '505']
['54', '190', '523', '403', '696', '991', '584', '392', '375', '438', '516', '943', '405', '144', '441', '453', '222', '34', '355', '930']
['203', '978', '26', '942', '638', '318', '367', '22', '293', '646', '501', '371', '138', '579', '419', '118', '765', '5', '703', '231']
['616', '711', '289', '492', '465', '105', '437', '540', '84', '721', '391', '91', '612', '206', '478', '223', '635', '111', '357', '356']
['176', '369', '552', '276', '668', '759', '965', '142', '881', '366', '539', '960', '995', '555', '221', '264', '633', '345', '401', '769']
['313', '694', '861', '452', '742', '350', '235', '82', '337', '697', '707', '86', '439', '620', '677', '303', '681', '270', '128', '171']
['641', '417', '248', '433', '274', '482', '673', '632', '494', '291', '326', '374', '349', '198', '727', '962', '812', '207', '364', '150']
['418', '660', '607', '404', '895', '624', '671', '85', '990', '565', '488', '953', '152', '252', '797', '241', '269', '415', '933', '139']
['658', '428', '442', '257', '33', '766', '498', '292', '89', '618', '400', '627', '629', '733', '132', '48', '976', '497', '362', '36']
