['355', '204', '66', '67', '580', '568', '312', '590', '235', '665', '427', '686', '200', '406', '513', '28', '212', '742', '55', '708', '176', '489', '734', '255', '637', '92', '578', '169', '560', '259']
['691', '131', '112', '321', '162', '714', '13', '705', '187', '0', '76', '224', '399', '743', '428', '137', '416', '248', '128', '546', '561', '464', '346', '581', '480', '282', '116', '15', '183', '253']
['341', '623', '744', '320', '302', '486', '554', '470', '740', '318', '154', '448', '123', '40', '149', '295', '34', '644', '209', '363', '269', '270', '451', '662', '156', '663', '574', '351', '216', '508']
['273', '264', '628', '147', '343', '56', '276', '648', '402', '716', '210', '322', '545', '632', '5', '746', '435', '243', '230', '62', '547', '244', '365', '143', '120', '605', '654', '225', '30', '537']
['201', '459', '599', '180', '104', '649', '193', '107', '657', '303', '409', '390', '479', '737', '135', '647', '102', '2', '689', '395', '175', '538', '555', '348', '437', '81', '122', '612', '643', '597']
['36', '458', '380', '478', '26', '130', '498', '681', '49', '344', '287', '133', '565', '690', '570', '542', '368', '293', '220', '410', '598', '39', '394', '46', '548', '627', '475', '172', '441', '477']
['569', '291', '93', '393', '713', '669', '414', '47', '178', '463', '167', '262', '202', '361', '566', '483', '391', '511', '688', '550', '614', '336', '11', '203', '304', '660', '12', '642', '517', '214']
['539', '205', '562', '91', '260', '29', '121', '664', '61', '182', '236', '430', '376', '19', '110', '585', '314', '251', '71', '505', '723', '118', '370', '60', '232', '126', '738', '492', '534', '69']
['709', '677', '418', '151', '695', '604', '223', '639', '739', '552', '296', '106', '297', '392', '527', '313', '719', '306', '588', '397', '518', '615', '159', '317', '671', '699', '63', '559', '640', '670']
['57', '524', '553', '164', '641', '308', '377', '221', '148', '732', '525', '745', '8', '403', '163', '96', '607', '496', '457', '227', '25', '404', '535', '442', '79', '10', '155', '145', '165', '417']
['383', '326', '541', '680', '239', '17', '697', '186', '472', '491', '563', '74', '558', '108', '42', '468', '138', '222', '678', '323', '292', '340', '497', '37', '146', '263', '21', '241', '88', '506']
['453', '736', '557', '94', '249', '603', '294', '7', '367', '523', '307', '339', '449', '311', '728', '667', '634', '631', '556', '38', '353', '80', '206', '171', '600', '231', '684', '587', '536', '499']
['703', '576', '219', '275', '103', '652', '166', '207', '43', '407', '258', '150', '412', '702', '735', '722', '450', '421', '630', '352', '422', '466', '9', '683', '661', '211', '181', '152', '238', '577']
['114', '455', '379', '635', '384', '372', '467', '218', '254', '245', '83', '378', '315', '98', '357', '461', '189', '625', '646', '471', '309', '473', '358', '95', '89', '620', '233', '445', '381', '70']
['521', '685', '177', '50', '33', '136', '589', '73', '519', '72', '724', '613', '75', '332', '694', '350', '300', '289', '423', '310', '330', '388', '673', '272', '651', '68', '288', '256', '591', '354']
['592', '174', '398', '285', '731', '192', '452', '281', '375', '338', '278', '184', '396', '444', '481', '682', '594', '741', '533', '52', '638', '301', '747', '715', '726', '369', '109', '125', '727', '698']
['400', '531', '573', '331', '503', '500', '572', '129', '329', '280', '382', '274', '454', '99', '621', '701', '105', '198', '408', '488', '700', '495', '624', '386', '656', '373', '356', '672', '650', '629']
['447', '420', '86', '616', '157', '54', '413', '337', '229', '327', '362', '45', '257', '14', '725', '41', '298', '456', '213', '601', '676', '431', '111', '59', '23', '324', '252', '217', '84', '371']
['544', '82', '290', '153', '530', '509', '429', '48', '199', '188', '415', '385', '127', '504', '215', '194', '512', '485', '712', '526', '668', '729', '334', '190', '160', '277', '626', '261', '645', '374']
['265', '158', '100', '730', '1', '440', '141', '636', '610', '349', '284', '564', '693', '487', '494', '360', '443', '65', '161', '279', '706', '124', '425', '411', '622', '77', '528', '653', '720', '113']
['710', '366', '549', '319', '438', '364', '502', '27', '484', '24', '596', '246', '405', '666', '658', '342', '32', '115', '510', '6', '515', '507', '250', '119', '234', '474', '299', '44', '197', '611']
['674', '687', '583', '240', '401', '325', '328', '179', '567', '268', '606', '142', '501', '64', '532', '733', '305', '237', '608', '439', '618', '117', '707', '242', '132', '540', '419', '446', '462', '347']
['659', '717', '609', '493', '424', '582', '436', '16', '78', '228', '721', '85', '711', '22', '87', '571', '267', '490', '482', '520', '170', '586', '692', '286', '460', '271', '18', '185', '584', '144']
['208', '433', '522', '335', '617', '514', '575', '432', '679', '602', '226', '529', '516', '173', '97', '195', '333', '247', '633', '4', '90', '191', '476', '266', '748', '655', '551', '426', '696', '316']
['595', '718', '51', '704', '168', '675', '434', '359', '593', '101', '469', '579', '53', '134', '749', '139', '31', '58', '389', '387', '619', '35', '140', '196', '543', '283', '20', '465', '345', '3']
