['768', '346', '728', '533', '183']
['239', '889', '272', '834', '225']
['520', '258', '539', '516', '877']
['968', '223', '428', '102', '59']
['432', '730', '116', '426', '210']
['146', '168', '334', '826', '820']
['571', '35', '18', '287', '579']
['61', '957', '33', '11', '498']
['505', '107', '391', '833', '114']
['337', '158', '574', '340', '278']
['894', '328', '576', '802', '507']
['639', '515', '126', '655', '611']
['882', '58', '886', '729', '455']
['248', '380', '382', '237', '41']
['127', '262', '668', '794', '727']
['742', '363', '996', '646', '928']
['993', '920', '224', '420', '408']
['550', '359', '192', '536', '266']
['238', '88', '321', '878', '772']
['193', '940', '853', '479', '537']
['480', '494', '150', '351', '598']
['162', '308', '942', '664', '375']
['923', '149', '24', '381', '456']
['31', '99', '75', '631', '843']
['709', '368', '314', '136', '559']
['497', '30', '994', '197', '918']
['409', '5', '534', '854', '326']
['643', '348', '429', '599', '221']
['695', '52', '738', '758', '325']
['801', '641', '995', '952', '531']
['893', '724', '285', '71', '797']
['345', '921', '1', '449', '656']
['693', '881', '327', '752', '186']
['762', '863', '367', '573', '987']
['979', '227', '8', '827', '755']
['19', '911', '548', '253', '565']
['425', '761', '50', '268', '229']
['922', '607', '992', '464', '68']
['678', '964', '787', '790', '406']
['719', '570', '310', '954', '145']
['577', '567', '960', '212', '623']
['679', '13', '519', '627', '855']
['338', '417', '330', '352', '661']
['407', '811', '341', '977', '249']
['228', '388', '547', '903', '350']
['379', '414', '9', '103', '471']
['749', '205', '846', '20', '950']
['142', '451', '44', '978', '216']
['62', '562', '828', '161', '919']
['832', '70', '211', '587', '959']
['43', '682', '36', '723', '608']
['461', '438', '511', '925', '896']
['888', '932', '500', '447', '943']
['28', '815', '83', '613', '232']
['744', '106', '793', '824', '861']
['111', '280', '933', '651', '756']
['12', '469', '972', '174', '657']
['558', '967', '791', '400', '880']
['247', '344', '77', '663', '924']
['104', '817', '53', '975', '485']
['900', '65', '674', '153', '551']
['847', '985', '870', '792', '686']
['446', '647', '718', '767', '399']
['795', '10', '454', '470', '366']
['182', '688', '667', '835', '354']
['137', '465', '435', '701', '441']
['765', '578', '798', '134', '76']
['436', '770', '365', '542', '484']
['563', '172', '3', '493', '660']
['234', '90', '753', '999', '290']
['812', '0', '159', '783', '807']
['857', '132', '25', '716', '527']
['737', '759', '510', '976', '387']
['79', '711', '421', '246', '760']
['786', '60', '601', '669', '949']
['602', '418', '644', '284', '913']
['769', '897', '836', '556', '335']
['930', '560', '394', '538', '666']
['166', '549', '332', '463', '138']
['610', '633', '868', '324', '437']
['14', '215', '634', '546', '698']
['349', '677', '201', '121', '704']
['929', '483', '376', '277', '984']
['696', '431', '373', '240', '2']
['748', '564', '899', '476', '288']
['779', '691', '904', '47', '714']
['851', '944', '642', '374', '110']
['358', '629', '360', '122', '353']
['67', '7', '665', '502', '306']
['557', '355', '206', '97', '86']
['283', '909', '472', '291', '948']
['808', '293', '444', '22', '869']
['430', '467', '675', '141', '397']
['592', '396', '403', '276', '208']
['242', '781', '879', '412', '312']
['100', '734', '259', '473', '626']
['54', '697', '848', '680', '874']
['581', '973', '45', '739', '416']
['670', '235', '115', '988', '39']
['884', '645', '872', '866', '970']
['187', '261', '305', '543', '453']
['81', '522', '118', '185', '383']
['154', '983', '778', '196', '552']
['144', '741', '821', '588', '823']
['304', '299', '615', '495', '386']
['496', '566', '481', '694', '73']
['844', '184', '439', '125', '621']
['419', '91', '300', '179', '782']
['746', '180', '616', '569', '475']
['915', '685', '56', '671', '109']
['364', '529', '119', '841', '689']
['57', '139', '849', '26', '405']
['637', '530', '315', '525', '747']
['864', '673', '309', '257', '488']
['600', '750', '274', '856', '553']
['336', '131', '873', '818', '914']
['965', '512', '29', '389', '721']
['422', '339', '804', '156', '177']
['630', '676', '860', '625', '487']
['632', '620', '74', '840', '450']
['715', '906', '342', '117', '622']
['912', '699', '910', '989', '16']
['478', '822', '649', '700', '990']
['916', '84', '69', '307', '974']
['108', '241', '423', '243', '123']
['640', '303', '594', '219', '273']
['95', '596', '442', '743', '200']
['434', '859', '764', '98', '726']
['92', '385', '584', '163', '377']
['927', '263', '38', '499', '294']
['842', '654', '604', '270', '289']
['51', '231', '780', '945', '971']
['89', '850', '265', '586', '64']
['619', '541', '267', '740', '895']
['545', '705', '991', '736', '194']
['80', '49', '440', '120', '482']
['34', '213', '766', '393', '458']
['204', '343', '15', '279', '477']
['236', '816', '803', '199', '518']
['690', '254', '845', '357', '433']
['583', '777', '135', '244', '720']
['143', '459', '255', '789', '775']
['78', '167', '831', '858', '372']
['188', '209', '503', '825', '176']
['6', '37', '865', '72', '523']
['63', '286', '245', '595', '384']
['181', '489', '810', '905', '837']
['561', '648', '517', '155', '170']
['96', '317', '652', '597', '124']
['362', '712', '876', '966', '635']
['788', '492', '939', '902', '805']
['21', '898', '17', '934', '318']
['926', '917', '313', '638', '85']
['591', '806', '555', '707', '575']
['800', '392', '892', '486', '687']
['907', '93', '969', '395', '23']
['323', '953', '852', '269', '731']
['474', '612', '636', '614', '572']
['706', '457', '875', '191', '250']
['606', '443', '410', '683', '275']
['908', '130', '830', '871', '961']
['169', '590', '751', '301', '956']
