['a233', 'a16', 'a142', 'a235', 'a245', 'a328', 'a344', 'a394', 'a412', 'a468', 'a471', 'a7']
['a274', 'a83', 'a84', 'a177', 'a197', 'a204', 'a226', 'a301', 'a442', 'a448', 'a452', 'a456']
['a32', 'a103', 'a196', 'a231', 'a267', 'a315', 'a342', 'a365', 'a419', 'a444', 'a459', 'a472']
['a228', 'a11', 'a61', 'a91', 'a249', 'a251', 'a261', 'a293', 'a299', 'a322', 'a335', 'a338']
['a68', 'a35', 'a71', 'a112', 'a132', 'a148', 'a246', 'a256', 'a259', 'a281', 'a39', 'a38']
['a385', 'a28', 'a53', 'a81', 'a85', 'a317', 'a403', 'a438', 'a454', 'a474', 'a476', 'a477']
['a111', 'a22', 'a92', 'a139', 'a244', 'a297', 'a396', 'a446', 'a470', 'a478', 'a479', 'a480']
['a155', 'a20', 'a77', 'a94', 'a118', 'a128', 'a181', 'a217', 'a224', 'a239', 'a331', 'a337']
['a276', 'a1', 'a69', 'a124', 'a305', 'a308', 'a387', 'a400', 'a420', 'a423', 'a424', 'a432']
['a254', 'a65', 'a115', 'a314', 'a357', 'a364', 'a389', 'a405', 'a408', 'a429', 'a431', 'a435']
['a359', 'a13', 'a70', 'a143', 'a185', 'a210', 'a211', 'a285', 'a353', 'a427', 'a449', 'a455']
['a240', 'a19', 'a175', 'a262', 'a304', 'a354', 'a372', 'a374', 'a375', 'a384', 'a34', 'a40']
['a350', 'a4', 'a99', 'a131', 'a140', 'a162', 'a216', 'a219', 'a236', 'a268', 'a343', 'a352']
['a133', 'a14', 'a47', 'a116', 'a169', 'a180', 'a221', 'a362', 'a383', 'a451', 'a461', 'a466']
['a313', 'a44', 'a88', 'a135', 'a151', 'a173', 'a213', 'a288', 'a296', 'a336', 'a413', 'a415']
['a6', 'a51', 'a182', 'a194', 'a269', 'a324', 'a380', 'a433', 'a465', 'a467', 'a473', 'a30']
['a172', 'a58', 'a145', 'a168', 'a176', 'a202', 'a379', 'a390', 'a399', 'a411', 'a421', 'a434']
['a184', 'a29', 'a171', 'a201', 'a238', 'a250', 'a270', 'a292', 'a398', 'a402', 'a406', 'a416']
['a306', 'a41', 'a54', 'a78', 'a89', 'a104', 'a222', 'a257', 'a271', 'a428', 'a437', 'a441']
['a294', 'a3', 'a74', 'a163', 'a260', 'a325', 'a326', 'a349', 'a361', 'a371', 'a409', 'a422']
['a64', 'a36', 'a79', 'a125', 'a157', 'a165', 'a191', 'a200', 'a214', 'a289', 'a291', 'a307']
['a117', 'a33', 'a189', 'a212', 'a263', 'a264', 'a298', 'a345', 'a376', 'a453', 'a460', 'a463']
['a310', 'a45', 'a55', 'a96', 'a102', 'a134', 'a161', 'a215', 'a237', 'a242', 'a279', 'a346']
['a320', 'a37', 'a72', 'a105', 'a106', 'a109', 'a193', 'a206', 'a220', 'a321', 'a381', 'a450']
['a209', 'a56', 'a76', 'a188', 'a207', 'a227', 'a232', 'a340', 'a393', 'a397', 'a401', 'a440']
['a392', 'a24', 'a42', 'a63', 'a66', 'a67', 'a101', 'a253', 'a341', 'a373', 'a388', 'a395']
['a312', 'a100', 'a123', 'a127', 'a156', 'a174', 'a179', 'a187', 'a190', 'a243', 'a311', 'a329']
['a391', 'a5', 'a48', 'a87', 'a126', 'a152', 'a158', 'a234', 'a258', 'a290', 'a356', 'a9']
['a80', 'a31', 'a121', 'a130', 'a141', 'a223', 'a278', 'a282', 'a302', 'a351', 'a358', 'a377']
['a366', 'a49', 'a59', 'a300', 'a316', 'a318', 'a334', 'a369', 'a410', 'a425', 'a430', 'a445']
['a457', 'a27', 'a60', 'a153', 'a286', 'a319', 'a323', 'a327', 'a348', 'a382', 'a418', 'a426']
['a113', 'a52', 'a146', 'a164', 'a225', 'a230', 'a241', 'a252', 'a273', 'a339', 'a436', 'a447']
['a8', 'a43', 'a114', 'a120', 'a136', 'a137', 'a183', 'a295', 'a443', 'a462', 'a12', 'a26']
['a475', 'a25', 'a57', 'a129', 'a199', 'a265', 'a333', 'a370', 'a414', 'a439', 'a464', 'a18']
['a218', 'a17', 'a86', 'a122', 'a150', 'a178', 'a205', 'a229', 'a247', 'a248', 'a309', 'a330']
['a82', 'a2', 'a50', 'a98', 'a108', 'a170', 'a280', 'a347', 'a367', 'a458', 'a469', 'a10']
['a404', 'a15', 'a62', 'a75', 'a107', 'a119', 'a160', 'a186', 'a195', 'a287', 'a360', 'a417']
['a255', 'a93', 'a97', 'a138', 'a144', 'a154', 'a203', 'a266', 'a272', 'a284', 'a303', 'a363']
['a407', 'a23', 'a110', 'a147', 'a149', 'a159', 'a167', 'a208', 'a275', 'a277', 'a368', 'a21']
['a95', 'a46', 'a73', 'a90', 'a166', 'a192', 'a198', 'a283', 'a332', 'a355', 'a378', 'a386']
