['dg', 'ef', 'jf', 'cz', 'il', 'ab', 'an', 'at', 'fu', 'fe']
['jb', 'gj', 'do', 'ju', 'ba', 'bv', 'ca', 'hk', 'hn', 'hb']
['cd', 'dm', 'eo', 'bi', 'bk', 'w', 'ih', 'im', 'dx', 'eu']
['fp', 'gi', 'gh', 'p', 'eb', 'jg', 'cs', 'fc', 'ff', 'gv']
['ia', 'dc', 'jq', 'en', 'bw', 'u', 'by', 'bj', 'ii', 'ij']
['b', 'di', 'dy', 'd', 'ir', 'o', 'cc', 'ai', 'aw', 'q']
['jz', 'gy', 'gc', 'er', 'g', 'ck', 'af', 'fx', 'hv', 'gl']
['dp', 'h', 'et', 'jm', 'cl', 'ft', 'kb', 'm', 'bg', 'k']
['ka', 'gw', 'gr', 'dn', 'dh', 'ex', 'ce', 'hi', 't', 'fy']
['df', 'jr', 'be', 'bl', 'bs', 'jc', 'cn', 'j', 'hg', 'hj']
['hz', 'kg', 'bt', 'jh', 'cr', 'cp', 'iq', 'he', 'aj', 'cm']
['l', 'db', 'du', 'iw', 'eh', 'kk', 'v', 'ig', 'fr', 'y']
['ee', 'jl', 'iu', 'ip', 'ac', 'fd', 'jj', 'kn', 'dj', 'hh']
['ch', 'gq', 'js', 'ix', 'aq', 'fa', 'fm', 'ke', 'dk', 'ed']
['go', 'gn', 'x', 'jo', 'jk', 'hu', 'as', 'kf', 'em', 'ey']
['fi', 'gp', 'ec', 'ew', 'cq', 'z', 'ad', 'ao', 'ay', 'bu']
['ki', 'de', 'dv', 'dw', 'hx', 'ho', 'ja', 'bd', 'dl', 'au']
['bz', 'da', 'el', 'bp', 'iv', 'co', 'cb', 'iy', 'hy', 'kc']
['bh', 'gx', 'ga', 'dt', 'ak', 'fg', 'e', 'iz', 'r', 'gm']
['hl', 'ge', 'ei', 'ea', 'bo', 'hp', 'hw', 'n', 'ap', 'hf']
['ah', 'gk', 'jt', 'ci', 'cx', 'cw', 'fv', 'hc', 'ha', 'dz']
['bq', 'dq', 'jp', 'br', 'ht', 'fh', 'fn', 'cf', 'az', 'ib']
['c', 'gf', 'it', 'bm', 'bn', 'ag', 'ax', 'cy', 'if', 'ji']
['io', 'hs', 'av', 'fw', 'fo', 'kj', 'kh', 'dd', 'ej', 'fz']
['jw', 'eg', 'ev', 'ik', 'ic', 'fb', 'a', 'kd', 'km', 'gb']
['es', 'gz', 'eq', 'cu', 'is', 'hd', 'ar', 'zz', 'fj', 'fl']
['cg', 'gd', 'ep', 'jv', 'al', 'in', 'fs', 'cv', 'am', 'jx']
['fk', 'ek', 'bf', 'bb', 'bc', 'jd', 'bx', 's', 'cj', 'ae']
['ds', 'ez', 'hm', 'f', 'ie', 'fq', 'i', 'gu']
['gt', 'gs', 'gg', 'je', 'jn', 'jy', 'hr', 'hq', 'aa']
