['10', '3', '6', '13', '21']
['428', '23', '46', '48', '49']
['395', '52', '64', '74', '84']
['410', '88', '114', '153', '168']
['106', '172', '193', '197', '201']
['431', '212', '215', '223', '227']
['51', '234', '236', '248', '253']
['77', '255', '256', '257', '258']
['127', '260', '278', '279', '290']
['95', '293', '294', '326', '327']
['325', '330', '336', '339', '343']
['337', '352', '356', '357', '381']
['179', '393', '397', '406', '414']
['209', '425', '429', '430', '434']
['340', '437', '440', '442', '445']
['254', '447', '448', '450', '455']
['240', '469', '484', '491', '496']
['246', '9', '20', '31', '50']
['270', '53', '58', '62', '68']
['404', '71', '72', '75', '76']
['5', '85', '92', '94', '96']
['27', '98', '108', '120', '122']
['40', '159', '169', '174', '180']
['70', '181', '184', '185', '189']
['211', '194', '204', '208', '221']
['226', '228', '233', '244', '262']
['277', '285', '286', '289', '313']
['480', '317', '338', '344', '347']
['55', '363', '366', '378', '389']
['199', '407', '408', '421', '422']
['261', '423', '451', '463', '465']
['328', '466', '471', '476', '478']
['367', '487', '489', '490', '495']
['443', '0', '12', '30', '35']
['18', '37', '38', '47', '67']
['104', '90', '105', '111', '117']
['156', '119', '124', '132', '133']
['203', '135', '136', '139', '146']
['269', '154', '178', '192', '195']
['420', '196', '202', '217', '230']
['424', '238', '259', '264', '291']
['464', '300', '301', '302', '306']
['470', '310', '319', '320', '331']
['482', '358', '361', '372', '373']
['1', '380', '385', '399', '412']
['218', '453', '457', '459', '481']
['296', '494', '15', '17', '26']
['298', '39', '45', '63', '69']
['304', '86', '93', '97', '116']
['383', '140', '162', '166', '167']
['436', '173', '186', '188', '191']
['452', '214', '220', '229', '241']
['454', '267', '308', '312', '332']
['485', '333', '349', '354', '377']
['2', '387', '394', '401', '402']
['33', '433', '441', '472', '474']
['110', '483', '498', '22', '29']
['149', '34', '59', '73', '82']
['157', '125', '130', '152', '158']
['176', '171', '207', '225', '235']
['190', '271', '273', '276', '284']
['219', '292', '295', '303', '315']
['242', '342', '355', '370', '371']
['318', '375', '391', '396', '403']
['398', '413', '419', '460', '492']
['479', '7', '14', '42', '60']
['61', '87', '99', '112', '113']
['138', '118', '134', '141', '143']
['210', '161', '187', '247', '251']
['213', '272', '274', '288', '322']
['216', '346', '369', '390', '416']
['231', '417', '444', '446', '458']
['237', '80', '129', '148', '170']
['249', '198', '266', '275', '280']
['382', '283', '305', '314', '316']
['477', '350', '353', '359', '360']
['24', '392', '432', '449', '11']
['28', '81', '102', '103', '121']
['36', '123', '137', '150', '183']
['54', '200', '239', '252', '268']
['66', '281', '282', '307', '348']
['83', '365', '379', '400', '493']
['89', '43', '78', '91', '109']
['206', '131', '232', '243', '265']
['245', '405', '126', '128', '144']
['299', '147', '163', '224', '250']
['335', '287', '323', '324', '334']
['341', '462', '44', '57', '65']
['351', '142', '177', '222', '368']
['384', '386', '411', '415', '468']
['418', '100', '182', '205', '263']
['426', '297', '311', '488', '41']
['427', '160', '165', '175', '329']
['435', '374', '456', '467', '499']
['486', '56', '321', '8', '79']
['4', '145', '164', '497', '473']
['19', '151', '309', '362', '461']
['25', '155', '409', '115', '376']
['32', '439', '364', '475', '388']
['101', '16', '345', '438']
['107']
