['415', '39', '55', '145', '165', '207', '243', '479', '489', '494']
['467', '43', '48', '125', '144', '172', '184', '290', '344', '348']
['67', '11', '16', '33', '95', '114', '128', '130', '143', '187']
['4', '99', '203', '233', '253', '296', '299', '307', '416', '470']
['311', '30', '94', '167', '185', '217', '242', '247', '250', '304']
['254', '35', '140', '151', '177', '189', '200', '220', '238', '289']
['161', '54', '78', '80', '82', '156', '231', '297', '300', '488']
['213', '101', '102', '105', '115', '175', '190', '199', '255', '268']
['36', '24', '76', '91', '110', '215', '258', '260', '351', '464']
['71', '7', '25', '85', '281', '355', '387', '466', '475', '482']
['425', '15', '64', '124', '133', '152', '171', '195', '295', '404']
['434', '18', '21', '111', '326', '354', '360', '371', '388', '398']
['229', '17', '52', '58', '208', '239', '392', '395', '403', '433']
['291', '45', '118', '123', '226', '264', '279', '294', '428', '454']
['183', '57', '159', '181', '205', '222', '235', '282', '322', '341']
['9', '42', '47', '59', '100', '257', '309', '312', '319', '375']
['427', '40', '89', '119', '138', '166', '173', '212', '221', '272']
['87', '8', '60', '73', '227', '262', '336', '352', '432', '450']
['27', '154', '211', '223', '248', '275', '370', '429', '451', '462']
['315', '37', '74', '107', '146', '236', '249', '310', '407', '426']
['244', '46', '72', '83', '104', '163', '168', '218', '234', '363']
['441', '270', '346', '397', '414', '469', '474', '481', '487', '493']
['276', '69', '251', '266', '325', '332', '335', '435', '446', '449']
['103', '19', '77', '305', '308', '339', '389', '411', '465', '490']
['456', '121', '164', '219', '306', '337', '343', '353', '357', '438']
['302', '131', '193', '373', '386', '436', '461', '476', '480', '492']
['14', '62', '65', '98', '126', '202', '204', '214', '246', '259']
['241', '280', '316', '361', '417', '418', '444', '447', '459', '463']
['321', '31', '109', '137', '153', '293', '350', '399', '431', '443']
['92', '13', '63', '75', '117', '206', '323', '334', '384', '421']
['314', '23', '96', '147', '169', '209', '274', '298', '333', '419']
['186', '53', '182', '292', '342', '345', '379', '393', '402', '405']
['271', '338', '369', '477', '486', '495', '496', '497', '498', '499']
['197', '56', '106', '150', '288', '318', '347', '380', '383', '453']
['409', '29', '38', '285', '340', '366', '378', '458', '471', '484']
['210', '20', '86', '88', '112', '113', '267', '422', '455', '473']
['41', '34', '50', '313', '349', '391', '396', '410', '439', '448']
['358', '116', '142', '179', '237', '372', '442', '445', '485', '491']
['174', '61', '93', '97', '129', '176', '191', '201', '230', '330']
['401', '26', '149', '180', '265', '367', '374', '390', '400', '423']
['437', '22', '70', '90', '269', '301', '328', '329', '368', '381']
['385', '5', '134', '139', '178', '194', '327', '356', '364', '452']
['286', '44', '120', '160', '252', '256', '263', '278', '287', '317']
['430', '136', '188', '245', '283', '320', '412', '420', '424', '440']
['478', '0', '6', '28', '155', '158', '170', '225', '240', '261']
['273', '12', '49', '141', '224', '365', '377', '382', '408', '413']
['132', '1', '10', '51', '66', '135', '148', '196', '284', '303']
['362', '68', '79', '108', '162', '198', '228', '359', '376', '406']
['192', '81', '122', '324', '394', '457', '460', '468', '472', '483']
['3', '2', '32', '84', '127', '157', '216', '232', '277', '331']
