['s324', 's493', 's391', 's455', 's165', 's215', 's449', 's185', 's471', 's444']
['s114', 's494', 's345', 's438', 's282', 's87', 's333', 's295', 's36', 's155']
['s172', 's392', 's247', 's402', 's415', 's77', 's164', 's488', 's443', 's42']
['s272', 's124', 's200', 's332', 's35', 's384', 's219', 's20', 's435', 's151']
['s350', 's375', 's475', 's453', 's437', 's118', 's313', 's309', 's430', 's378']
['s480', 's2', 's498', 's393', 's72', 's133', 's490', 's389', 's445', 's362']
['s12', 's407', 's113', 's111', 's440', 's214', 's484', 's152', 's263', 's338']
['s271', 's316', 's474', 's291', 's380', 's190', 's357', 's142', 's197', 's22']
['s340', 's90', 's240', 's482', 's25', 's59', 's404', 's38', 's205', 's280']
['s208', 's317', 's304', 's399', 's58', 's14', 's161', 's355', 's413', 's53']
['s37', 's201', 's343', 's486', 's372', 's326', 's467', 's456', 's194', 's17']
['s452', 's242', 's397', 's6', 's150', 's216', 's68', 's86', 's234', 's204']
['s128', 's154', 's431', 's382', 's259', 's180', 's181', 's39', 's187', 's276']
['s103', 's352', 's421', 's469', 's302', 's463', 's348', 's434', 's388', 's426']
['s497', 's386', 's312', 's206', 's300', 's189', 's179', 's196', 's159', 's472']
['s138', 's428', 's327', 's135', 's310', 's213', 's381', 's97', 's131', 's41']
['s441', 's127', 's379', 's321', 's186', 's254', 's353', 's82', 's292', 's222']
['s106', 's66', 's55', 's225', 's416', 's31', 's367', 's62', 's289', 's100']
['s244', 's476', 's198', 's496', 's167', 's40', 's273', 's436', 's202', 's344']
['s33', 's262', 's481', 's408', 's290', 's315', 's347', 's1', 's339', 's27']
['s74', 's233', 's358', 's371', 's171', 's19', 's32', 's483', 's84', 's446']
['s346', 's13', 's293', 's308', 's166', 's26', 's162', 's193', 's23', 's15']
['s93', 's4', 's207', 's305', 's178', 's48', 's477', 's80', 's8', 's495']
['s246', 's85', 's478', 's88', 's227', 's0', 's288', 's450', 's122', 's403']
['s49', 's64', 's5', 's406', 's139', 's3', 's99', 's89', 's78', 's183']
['s377', 's458', 's366', 's9', 's226', 's425', 's328', 's141', 's268', 's349']
['s464', 's325', 's336', 's418', 's156', 's447', 's270', 's157', 's175', 's265']
['s81', 's75', 's203', 's51', 's286', 's96', 's136', 's396', 's275', 's177']
['s143', 's301', 's44', 's220', 's370', 's283', 's149', 's395', 's132', 's108']
['s285', 's277', 's182', 's409', 's115', 's79', 's491', 's466', 's239', 's459']
['s383', 's230', 's473', 's303', 's61', 's243', 's70', 's411', 's174', 's147']
['s412', 's448', 's335', 's101', 's184', 's365', 's318', 's278', 's252', 's65']
['s424', 's146', 's419', 's330', 's376', 's294', 's241', 's76', 's105', 's21']
['s238', 's236', 's54', 's137', 's319', 's60', 's45', 's140', 's410', 's212']
['s298', 's176', 's479', 's390', 's29', 's126', 's462', 's104', 's217', 's173']
['s401', 's95', 's267', 's405', 's91', 's311', 's223', 's125', 's351', 's158']
['s199', 's73', 's123', 's489', 's110', 's323', 's257', 's429', 's387', 's251']
['s249', 's284', 's109', 's461', 's296', 's18', 's253', 's334', 's112', 's134']
['s297', 's11', 's24', 's148', 's169', 's71', 's364', 's422', 's281', 's420']
['s209', 's229', 's258', 's457', 's322', 's210', 's320', 's468', 's63', 's314']
['s130', 's369', 's92', 's385', 's368', 's98', 's499', 's394', 's279', 's168']
['s363', 's30', 's269', 's224', 's337', 's256', 's451', 's432', 's129', 's400']
['s274', 's460', 's307', 's414', 's117', 's266', 's342', 's374', 's299', 's10']
['s373', 's361', 's417', 's232', 's485', 's354', 's237', 's83', 's231', 's442']
['s57', 's7', 's119', 's356', 's331', 's261', 's34', 's287', 's423', 's67']
['s360', 's120', 's221', 's43', 's433', 's218', 's439', 's264', 's50', 's465']
['s191', 's16', 's398', 's94', 's188', 's470', 's255', 's211', 's28', 's341']
['s52', 's487', 's329', 's163', 's107', 's260', 's235', 's160', 's144', 's102']
['s116', 's46', 's195', 's427', 's47', 's170', 's192', 's121', 's145', 's69']
['s245', 's359', 's153', 's306', 's250', 's492', 's228', 's454']
['s56']
['s248']
