['7', '11', '215', '261']
['31', '65', '95', '291']
['265', '45', '58', '297']
['57', '164', '206', '213']
['272', '64', '98', '189']
['2', '121', '288', '375']
['171', '13', '302', '324']
['223', '168', '193', '294']
['305', '284', '322', '378']
['350', '377', '397', '399']
['386', '25', '166', '172']
['287', '184', '208', '325']
['32', '162', '209', '211']
['8', '131', '263', '271']
['85', '107', '276', '356']
['283', '33', '51', '141']
['267', '36', '316', '359']
['191', '304', '313', '347']
['192', '173', '274', '299']
['242', '30', '146', '289']
['354', '63', '86', '362']
['337', '23', '126', '197']
['157', '78', '94', '115']
['42', '74', '196', '353']
['278', '50', '102', '280']
['39', '19', '134', '390']
['308', '21', '96', '234']
['245', '18', '132', '340']
['143', '62', '221', '253']
['387', '116', '311', '321']
['66', '59', '255', '256']
['312', '5', '338', '339']
['370', '97', '122', '306']
['355', '163', '268', '326']
['28', '80', '101', '336']
['117', '22', '89', '158']
['279', '47', '334', '342']
['104', '6', '235', '277']
['233', '48', '87', '383']
['92', '144', '203', '259']
['170', '69', '130', '177']
['369', '17', '190', '332']
['76', '137', '231', '237']
['198', '14', '113', '225']
['181', '220', '293', '388']
['228', '202', '366', '380']
['269', '4', '145', '214']
['44', '56', '307', '391']
['75', '128', '140', '186']
['352', '82', '153', '239']
['99', '160', '250', '266']
['327', '16', '216', '300']
['20', '79', '118', '212']
['217', '125', '248', '296']
['240', '129', '136', '194']
['249', '200', '238', '335']
['148', '77', '218', '348']
['109', '10', '133', '331']
['303', '15', '178', '329']
['188', '12', '35', '52']
['367', '119', '314', '396']
['275', '73', '138', '361']
['246', '161', '182', '292']
['1', '224', '309', '394']
['229', '9', '91', '108']
['106', '226', '358', '360']
['46', '84', '251', '363']
['328', '0', '264', '381']
['93', '247', '257', '330']
['207', '110', '295', '301']
['374', '34', '53', '68']
['124', '3', '349', '372']
['49', '26', '100', '341']
['67', '55', '111', '151']
['155', '149', '236', '344']
['319', '90', '179', '252']
['123', '27', '286', '346']
['60', '41', '210', '227']
['333', '185', '222', '318']
['24', '38', '165', '230']
['156', '81', '112', '127']
['40', '54', '232', '389']
['244', '357', '368', '398']
['379', '243', '270', '310']
['167', '281', '371', '393']
['351', '37', '72', '83']
['373', '273', '385', '395']
['88', '70', '183', '187']
['343', '152', '241', '320']
['142', '135', '199', '317']
['323', '175', '260', '315']
['290', '285', '365', '392']
['384', '147', '159', '298']
['258', '61', '219', '262']
['174', '204', '282', '376']
['205', '169', '176', '254']
['120', '43', '105', '114']
['154', '201', '345', '364']
['382', '71', '139', '180']
['29', '103', '150', '195']
