['0', 'H0', 'C54']
['30', 'B0', 'C0']
['1', 'F0', 'G0']
['2', 'B1', 'C1']
['3', 'F1', 'G1']
['4', 'H1', 'B2']
['5', 'C2', 'F2']
['6', 'G2', 'H2']
['7', 'B3', 'C3']
['8', 'F3', 'G3']
['9', 'H3', 'B4']
['10', 'C4', 'F4']
['11', 'G4', 'H4']
['12', 'B5', 'C5']
['13', 'F5', 'G5']
['14', 'H5', 'B6']
['15', 'C6', 'F6']
['16', 'G6', 'H6']
['17', 'B7', 'C7']
['18', 'F7', 'G7']
['19', 'H7', 'B8']
['20', 'C8', 'F8']
['21', 'G8', 'H8']
['22', 'B9', 'C9']
['23', 'F9', 'G9']
['24', 'H9', 'B10']
['25', 'C10', 'F10']
['26', 'G10', 'H10']
['27', 'B11', 'C11']
['28', 'F11', 'G11']
['29', 'H11', 'B12']
['31', 'C12', 'F12']
['32', 'G12', 'H12']
['33', 'B13', 'C13']
['34', 'F13', 'G13']
['35', 'H13', 'B14']
['36', 'C14', 'F14']
['37', 'G14', 'H14']
['38', 'B15', 'C15']
['39', 'F15', 'G15']
['40', 'H15', 'B16']
['41', 'C16', 'F16']
['42', 'G16', 'H16']
['43', 'B17', 'C17']
['44', 'F17', 'G17']
['45', 'H17', 'B18']
['46', 'C18', 'F18']
['47', 'G18', 'H18']
['48', 'B19', 'C19']
['49', 'F19', 'G19']
['50', 'H19', 'B20']
['51', 'C20', 'F20']
['52', 'G20', 'H20']
['53', 'B21', 'C21']
['54', 'F21', 'G21']
['55', 'H21', 'B22']
['56', 'C22', 'F22']
['57', 'G22', 'H22']
['58', 'B23', 'C23']
['59', 'F23', 'G23']
['A0', 'H23', 'B24']
['D0', 'C24', 'F24']
['E0', 'G24', 'H24']
['A1', 'B25', 'C25']
['D1', 'F25', 'G25']
['E1', 'H25', 'B26']
['A2', 'C26', 'F26']
['D2', 'G26', 'H26']
['E2', 'B27', 'C27']
['A3', 'F27', 'G27']
['D3', 'H27', 'B28']
['E3', 'C28', 'F28']
['A4', 'G28', 'H28']
['D4', 'B29', 'C29']
['E4', 'F29', 'G29']
['A5', 'H29', 'B30']
['D5', 'C30', 'F30']
['E5', 'G30', 'H30']
['A6', 'B31', 'C31']
['D6', 'F31', 'G31']
['E6', 'H31', 'B32']
['A7', 'C32', 'F32']
['D7', 'G32', 'H32']
['E7', 'B33', 'C33']
['A8', 'F33', 'G33']
['D8', 'H33', 'B34']
['E8', 'C34', 'F34']
['A9', 'G34', 'H34']
['D9', 'B35', 'C35']
['E9', 'F35', 'E35']
['A10', 'G35', 'H35']
['D10', 'A36', 'B36']
['E10', 'C36', 'D36']
['A11', 'E36', 'F36']
['D11', 'G36', 'H36']
['E11', 'A37', 'B37']
['A12', 'C37', 'D37']
['D12', 'E37', 'F37']
['E12', 'G37', 'H37']
['A13', 'A38', 'B38']
['D13', 'C38', 'D38']
['E13', 'E38', 'F38']
['A14', 'G38', 'H38']
['D14', 'A39', 'B39']
['E14', 'C39', 'D39']
['A15', 'E39', 'F39']
['D15', 'G39', 'H39']
['E15', 'A40', 'B40']
['A16', 'C40', 'D40']
['D16', 'E40', 'F40']
['E16', 'G40', 'H40']
['A17', 'A41', 'B41']
['D17', 'C41', 'D41']
['E17', 'E41', 'F41']
['A18', 'G41', 'H41']
['D18', 'A42', 'B42']
['E18', 'C42', 'D42']
['A19', 'E42', 'F42']
['D19', 'G42', 'H42']
['E19', 'A43', 'B43']
['A20', 'C43', 'D43']
['D20', 'E43', 'F43']
['E20', 'G43', 'H43']
['A21', 'A44', 'B44']
['D21', 'C44', 'D44']
['E21', 'E44', 'F44']
['A22', 'G44', 'H44']
['D22', 'A45', 'B45']
['E22', 'C45', 'D45']
['A23', 'E45', 'F45']
['D23', 'G45', 'H45']
['E23', 'A46', 'B46']
['A24', 'C46', 'D46']
['D24', 'E46', 'F46']
['E24', 'G46', 'H46']
['A25', 'A47', 'B47']
['D25', 'C47', 'D47']
['E25', 'E47', 'F47']
['A26', 'G47', 'H47']
['D26', 'A48', 'B48']
['E26', 'C48', 'D48']
['A27', 'E48', 'F48']
['D27', 'G48', 'H48']
['E27', 'A49', 'B49']
['A28', 'C49', 'D49']
['D28', 'E49', 'F49']
['E28', 'G49', 'H49']
['A29', 'A50', 'B50']
['D29', 'C50', 'D50']
['E29', 'E50', 'F50']
['A30', 'G50', 'H50']
['D30', 'A51', 'B51']
['E30', 'C51', 'D51']
['A31', 'E51', 'F51']
['D31', 'G51', 'H51']
['E31', 'A52', 'B52']
['A32', 'C52', 'D52']
['D32', 'E52', 'F52']
['E32', 'G52', 'H52']
['A33', 'A53', 'B53']
['D33', 'C53', 'D53']
['E33', 'E53', 'F53']
['A34', 'G53', 'H53']
['D34', 'A54', 'B54']
['E34', 'D54', 'E54']
['A35', 'F54', 'G54']
['D35', 'H54']
