['421', '190']
['414', '102']
['454', '138']
['313', '50']
['239', '218']
['275', '441']
['377', '337']
['330', '491']
['158', '23']
['29', '473']
['492', '398']
['27', '379']
['382', '108']
['304', '144']
['408', '495']
['10', '460']
['320', '118']
['39', '431']
['105', '453']
['221', '8']
['77', '184']
['17', '338']
['373', '401']
['53', '234']
['332', '35']
['336', '359']
['374', '467']
['277', '420']
['496', '272']
['231', '84']
['229', '123']
['81', '257']
['375', '395']
['82', '270']
['268', '122']
['107', '116']
['476', '409']
['430', '341']
['322', '51']
['450', '470']
['162', '124']
['188', '256']
['168', '48']
['238', '161']
['18', '376']
['45', '269']
['451', '57']
['226', '127']
['266', '94']
['364', '457']
['179', '411']
['498', '244']
['235', '20']
['159', '233']
['405', '440']
['87', '236']
['137', '129']
['439', '489']
['71', '117']
['121', '464']
['262', '24']
['7', '294']
['205', '136']
['442', '11']
['482', '195']
['297', '281']
['125', '232']
['350', '445']
['134', '455']
['4', '201']
['494', '109']
['278', '319']
['131', '253']
['315', '104']
['243', '371']
['433', '261']
['69', '406']
['152', '12']
['264', '240']
['490', '97']
['290', '394']
['370', '280']
['128', '147']
['378', '143']
['444', '425']
['70', '347']
['197', '348']
['478', '446']
['327', '480']
['282', '456']
['366', '192']
['120', '466']
['55', '95']
['199', '248']
['367', '191']
['334', '78']
['111', '314']
['452', '208']
['76', '196']
['72', '321']
['340', '499']
['291', '459']
['284', '358']
['2', '292']
['92', '487']
['30', '110']
['154', '140']
['34', '170']
['352', '417']
['346', '80']
['328', '206']
['308', '74']
['237', '396']
['106', '28']
['230', '362']
['481', '145']
['252', '183']
['293', '483']
['443', '135']
['211', '286']
['207', '403']
['343', '349']
['288', '331']
['279', '247']
['101', '64']
['37', '3']
['392', '326']
['242', '448']
['172', '298']
['204', '419']
['259', '166']
['386', '67']
['260', '100']
['424', '465']
['200', '59']
['497', '263']
['202', '316']
['0', '115']
['43', '88']
['212', '410']
['31', '477']
['44', '245']
['254', '157']
['389', '56']
['400', '383']
['407', '13']
['181', '388']
['167', '309']
['276', '413']
['79', '83']
['472', '52']
['434', '112']
['250', '65']
['462', '163']
['274', '132']
['449', '25']
['177', '437']
['19', '186']
['60', '9']
['295', '251']
['435', '351']
['273', '418']
['385', '287']
['361', '182']
['368', '142']
['391', '356']
['89', '165']
['215', '54']
['241', '149']
['75', '62']
['303', '365']
['458', '209']
['344', '285']
['249', '301']
['397', '345']
['325', '187']
['91', '103']
['46', '339']
['390', '173']
['180', '178']
['415', '267']
['66', '412']
['139', '156']
['114', '213']
['160', '302']
['468', '228']
['381', '113']
['141', '488']
['416', '32']
['150', '193']
['130', '271']
['47', '224']
['216', '5']
['133', '220']
['265', '353']
['372', '219']
['42', '174']
['151', '258']
['22', '354']
['73', '474']
['1', '299']
['318', '63']
['469', '16']
['61', '479']
['317', '461']
['463', '360']
['119', '475']
['428', '355']
['484', '387']
['86', '296']
['333', '305']
['369', '423']
['227', '14']
['404', '98']
['432', '146']
['214', '307']
['210', '427']
['49', '41']
['493', '447']
['485', '36']
['312', '15']
['329', '422']
['384', '68']
['486', '246']
['171', '38']
['438', '155']
['26', '289']
['283', '310']
['40', '175']
['93', '300']
['380', '357']
['436', '426']
['217', '323']
['198', '99']
['176', '203']
['85', '6']
['185', '471']
['194', '393']
['164', '189']
['335', '148']
['169', '402']
['90', '255']
['363', '222']
['33', '342']
['223', '153']
['126', '96']
['324', '225']
['429', '311']
['399', '306']
['58', '21']
