['a69', 'a10', 'a61', 'a63', 'a88', 'a85', 'a80', 'a84', 'a86', 'a87']
['a83', 'a64', 'a193', 'a67', 'a120', 'a127', 'a122', 'a123', 'a124', 'a180']
['a65', 'a182', 'a188', 'a187', 'a189', 'a200', 'a202', 'a209', 'a6', 'a9']
['a196', 'a1', 'a4', 'a15', 'a14', 'a16', 'a12', 'a81', 'a66', 'a198']
['a126', 'a191', 'a204', 'a208', 'a98', 'a28', 'a22', 'a25', 'a26', 'a33']
['a185', 'a34', 'a35', 'a39', 'a62', 'a90', 'a192', 'a97', 'a94', 'a93']
['a203', 'a96', 'a77', 'a72', 'a76', 'a73', 'a106', 'a103', 'a109', 'a108']
['a7', 'a133', 'a138', 'a139', 'a131', 'a145', 'a144', 'a141', 'a146', 'a0']
['a11', 'a2', 'a5', 'a8', 'a18', 'a17', 'a201', 'a92', 'a20', 'a24']
['a13', 'a27', 'a23', 'a30', 'a38', 'a36', 'a32', 'a40', 'a49', 'a42']
['a19', 'a41', 'a47', 'a48', 'a43', 'a44', 'a50', 'a56', 'a57', 'a54']
['a68', 'a55', 'a52', 'a58', 'a51', 'a59', 'a60', 'a71', 'a78', 'a74']
['a197', 'a75', 'a82', 'a89', 'a99', 'a107', 'a104', 'a105', 'a110', 'a116']
['a206', 'a114', 'a115', 'a118', 'a119', 'a111', 'a112', 'a117', 'a125', 'a129']
['a207', 'a128', 'a130', 'a134', 'a135', 'a148', 'a143', 'a147', 'a149', 'a150']
['a29', 'a155', 'a157', 'a152', 'a151', 'a158', 'a159', 'a156', 'a154', 'a160']
['a37', 'a165', 'a164', 'a161', 'a169', 'a167', 'a166', 'a168', 'a163', 'a170']
['a194', 'a175', 'a173', 'a171', 'a178', 'a176', 'a172', 'a174', 'a177', 'a183']
['a190', 'a181', 'a186', 'a195', 'a199', 'a205', 'a210', 'a211', 'a218', 'a216']
['a91', 'a214', 'a212', 'a215', 'a213', 'a219', 'a220', 'a222', 'a227', 'a225']
['a95', 'a221', 'a226', 'a224', 'a229', 'a228', 'a230', 'a235', 'a239', 'a234']
['a70', 'a231', 'a238', 'a233', 'a232', 'a236', 'a240', 'a248', 'a243', 'a241']
['a100', 'a242', 'a249', 'a246', 'a247', 'a3', 'a21', 'a31', 'a45', 'a46']
['a132', 'a53', 'a79', 'a101', 'a102', 'a113', 'a121', 'a136', 'a137', 'a142']
['a140', 'a153', 'a162', 'a179', 'a184', 'a217', 'a223', 'a237', 'a244', 'a245']
