['61', '2', '3', '5', '6', '7', '9', '10', '12', '13', '14', '15', '16', '17', '18', '20', '21', '22', '23', '25', '26', '27', '28']
['471', '29', '30', '33', '34', '35', '36', '37', '38', '39', '40', '42', '43', '44', '47', '48', '49', '51', '52', '53', '54', '58', '59']
['55', '60', '414', '154', '325', '277', '244', '101', '359', '173', '193', '442', '314', '391', '383', '374', '259', '206', '210', '163', '366', '462', '453']
['120', '211', '403', '125', '117', '263', '80', '179', '174', '254', '112', '138', '300', '77', '331', '344', '266', '372', '427', '459', '103', '392', '435']
['320', '466', '377', '420', '261', '70', '345', '256', '185', '401', '407', '319', '311', '441', '405', '455', '147', '232', '238', '229', '388', '99', '248']
['109', '108', '88', '122', '200', '114', '379', '93', '418', '425', '216', '145', '126', '397', '330', '227', '431', '355', '164', '144', '378', '167', '240']
['181', '214', '124', '176', '218', '299', '269', '380', '188', '464', '371', '177', '265', '336', '217', '478', '134', '287', '271', '410', '102', '310', '113']
['483', '474', '286', '367', '385', '169', '480', '237', '72', '234', '400', '161', '239', '68', '340', '272', '242', '449', '422', '276', '324', '230', '368']
['41', '430', '168', '334', '281', '273', '78', '243', '207', '375', '411', '297', '156', '94', '332', '158', '303', '222', '131', '293', '389', '479', '446']
['146', '268', '387', '92', '298', '357', '220', '249', '137', '190', '381', '152', '457', '196', '141', '337', '304', '338', '267', '360', '417', '111', '365']
['317', '302', '191', '160', '65', '172', '221', '445', '205', '348', '454', '390', '262', '74', '135', '202', '394', '305', '419', '470', '370', '128', '139']
['107', '373', '443', '67', '83', '363', '251', '235', '215', '171', '71', '341', '201', '358', '192', '247', '415', '79', '132', '322', '279', '398', '118']
['424', '402', '477', '184', '224', '204', '250', '195', '485', '84', '409', '339', '64', '66', '73', '76', '81', '85', '86', '87', '90', '96', '98']
['19', '100', '104', '105', '106', '110', '116', '119', '121', '123', '127', '129', '133', '140', '142', '148', '149', '150', '153', '155', '157', '159', '162']
['56', '175', '178', '194', '209', '212', '213', '219', '223', '225', '226', '233', '246', '253', '257', '260', '264', '270', '275', '278', '280', '283', '284']
['75', '291', '294', '295', '296', '313', '315', '316', '318', '323', '327', '328', '333', '335', '343', '346', '347', '350', '352', '353', '361', '362', '369']
['187', '382', '384', '386', '393', '395', '396', '404', '408', '412', '416', '421', '423', '428', '433', '436', '439', '440', '447', '452', '458', '460', '461']
['255', '463', '467', '469', '472', '475', '476', '484', '1', '4', '8', '11', '31', '45', '50', '57', '63', '82', '89', '91', '95', '97', '115']
['406', '136', '143', '151', '165', '166', '170', '180', '182', '183', '197', '198', '199', '203', '208', '228', '231', '236', '241', '245', '258', '274', '282']
['429', '288', '290', '292', '301', '306', '307', '308', '312', '321', '326', '329', '349', '351', '354', '356', '376', '399', '426', '432', '434', '437', '438']
['32', '444', '448', '450', '456', '468', '473', '481', '482', '24', '46', '342', '186', '130', '451', '289', '69', '413', '285', '189', '252', '309', '465']
['62', '364']
