['165', '13', '19', '42', '167', '205', '250', '287']
['486', '132', '164', '345', '386', '407', '428', '438']
['476', '9', '70', '106', '197', '255', '354', '404']
['383', '56', '63', '119', '219', '234', '237', '262']
['31', '358', '442', '447', '448', '455', '456', '461']
['87', '29', '68', '157', '235', '248', '296', '344']
['25', '36', '39', '155', '227', '285', '290', '312']
['7', '53', '72', '97', '222', '365', '463', '480']
['142', '26', '37', '159', '174', '263', '326', '368']
['484', '112', '168', '196', '229', '286', '308', '348']
['371', '135', '256', '310', '395', '422', '462', '474']
['4', '14', '120', '144', '321', '342', '374', '402']
['468', '100', '111', '355', '465', '482', '497']
['50', '89', '114', '199', '242', '316', '357', '378']
['295', '51', '213', '307', '449', '495', '499']
['489', '122', '238', '252', '303', '412', '415', '469']
['171', '28', '81', '102', '105', '225', '231', '233']
['483', '1', '32', '244', '306', '313', '369', '381']
['180', '200', '253', '324', '330', '413', '427', '446']
['335', '21', '44', '107', '283', '288', '305', '327']
['183', '60', '69', '94', '141', '270', '317', '340']
['216', '62', '64', '138', '182', '223', '236', '405']
['323', '5', '153', '179', '192', '208', '362', '370']
['478', '158', '175', '178', '206', '360', '439', '490']
['11', '8', '34', '110', '297', '367', '393', '451']
['267', '49', '86', '160', '203', '268', '302', '406']
['445', '6', '148', '292', '411', '435', '440', '488']
['58', '24', '75', '82', '134', '173', '247', '277']
['221', '2', '98', '125', '191', '201', '417', '464']
['385', '16', '145', '156', '343', '457', '460', '473']
['429', '3', '54', '59', '177', '190', '320', '350']
['399', '384', '392', '400', '410', '420', '434', '485']
['432', '67', '118', '150', '356', '391', '401', '437']
['265', '30', '38', '85', '117', '322', '389', '418']
['452', '46', '78', '84', '101', '212', '333', '339']
['266', '15', '88', '126', '245', '294', '353', '396']
['372', '48', '71', '169', '185', '269', '329', '414']
['218', '90', '149', '193', '272', '315', '337', '359']
['17', '104', '109', '214', '264', '284', '375', '471']
['397', '12', '45', '55', '73', '241', '275', '293']
['273', '66', '299', '390', '416', '475', '479', '487']
['65', '257', '319', '334', '361', '421', '425', '426']
['151', '96', '226', '261', '377', '388', '441', '458']
['176', '188', '220', '228', '281', '314', '328', '349']
['243', '57', '341', '366', '433', '450', '454', '467']
['23', '79', '162', '376', '492', '496']
['276', '133', '184', '209', '239', '309', '338', '373']
['33', '116', '121', '137', '146', '181', '187', '195']
['494', '103', '139', '172', '186', '189', '298', '311']
['224', '91', '99', '154', '161', '217', '301', '364']
['127', '35', '95', '128', '282', '300', '318', '347']
['472', '27', '47', '52', '170', '230', '260', '271']
['131', '254', '291', '331', '363', '403', '409', '431']
['280', '129', '136', '198', '258', '325', '352', '430']
['20', '108', '113', '289', '382', '436', '443', '459']
['43', '40', '163', '207', '215', '246', '251', '274']
['93', '10', '124', '398', '424', '470', '491', '498']
['123', '140', '166', '240', '278', '444', '477', '493']
['500', '77', '211', '232', '304', '379', '453', '481']
['22', '74', '80', '202', '210', '332', '351', '380']
['143', '83', '92', '204', '249', '279', '336', '408']
['259', '41', '346', '387', '394', '419', '423', '466']
['130', '18', '61', '76', '115', '147', '152', '194']
