['146', '211', '427']
['19', '465', '278']
['64', '118', '378']
['480', '262', '307']
['110', '334', '418']
['348', '400', '420']
['4', '496', '194']
['452', '260', '109']
['306', '349', '404']
['390', '469', '476']
['154', '212', '324']
['170', '388', '139']
['485', '218', '116']
['415', '325', '117']
['391', '256', '123']
['412', '441', '152']
['164', '354', '265']
['106', '373', '310']
['58', '222', '350']
['422', '288', '316']
['314', '113', '360']
['138', '158', '455']
['416', '282', '216']
['472', '434', '249']
['255', '181', '311']
['399', '112', '499']
['88', '114', '207']
['100', '147', '127']
['220', '359', '292']
['108', '484', '367']
['389', '468', '150']
['392', '155', '339']
['159', '453', '330']
['230', '355', '198']
['143', '493', '201']
['320', '414', '470']
['492', '411', '464']
['285', '241', '250']
['242', '450', '419']
['188', '269', '401']
['191', '407', '475']
['281', '446', '98']
['210', '478', '107']
['271', '498', '126']
['318', '132', '134']
['3', '351', '160']
['234', '413', '165']
['5', '274', '173']
['162', '270', '205']
['298', '372', '225']
['6', '395', '227']
['442', '374', '235']
['7', '258', '246']
['12', '365', '279']
['429', '347', '283']
['13', '447', '284']
['406', '451', '303']
['14', '313', '352']
['31', '482', '382']
['174', '384', '383']
['40', '408', '405']
['321', '421', '439']
['135', '490', '2']
['20', '8', '9']
['21', '11', '16']
['396', '17', '24']
['25', '46', '49']
['474', '52', '53']
['95', '54', '57']
['38', '60', '61']
['39', '63', '67']
['206', '68', '69']
['44', '70', '72']
['45', '74', '75']
['124', '81', '82']
['47', '90', '92']
['125', '93', '96']
['417', '99', '101']
['362', '104', '111']
['213', '115', '119']
['319', '120', '121']
['80', '130', '137']
['363', '142', '144']
['83', '148', '149']
['273', '151', '157']
['84', '163', '166']
['182', '167', '168']
['385', '175', '176']
['102', '178', '179']
['105', '180', '184']
['337', '186', '187']
['380', '189', '190']
['236', '192', '195']
['122', '197', '202']
['161', '203', '204']
['128', '208', '209']
['141', '214', '215']
['200', '217', '219']
['481', '221', '223']
['286', '226', '229']
['196', '232', '237']
['471', '238', '240']
['193', '244', '245']
['171', '248', '251']
['172', '252', '257']
['185', '259', '261']
['304', '263', '264']
['438', '266', '267']
['361', '272', '275']
['456', '276', '277']
['488', '280', '287']
['364', '289', '291']
['231', '293', '294']
['233', '295', '296']
['239', '301', '302']
['394', '305', '309']
['247', '312', '315']
['268', '317', '322']
['308', '323', '326']
['290', '327', '328']
['343', '329', '331']
['425', '332', '333']
['423', '335', '336']
['495', '338', '340']
['0', '341', '342']
['463', '344', '345']
['1', '346', '353']
['59', '356', '357']
['397', '358', '366']
['15', '368', '369']
['300', '371', '375']
['228', '376', '377']
['254', '379', '381']
['131', '386', '387']
['10', '393', '398']
['183', '402', '409']
['253', '410', '424']
['129', '430', '431']
['18', '432', '433']
['145', '436', '437']
['34', '440', '443']
['448', '444', '449']
['22', '457', '458']
['23', '459', '461']
['445', '462', '466']
['26', '467', '473']
['27', '477', '479']
['28', '483', '486']
['177', '487', '491']
['29', '494', '497']
['140']
['30']
['460']
['32']
['33']
['35']
['428']
['36']
['73']
['37']
['370']
['297']
['454']
['403']
['41']
['42']
['136']
['43']
['489']
['77']
['103']
['48']
['50']
['51']
['435']
['55']
['56']
['62']
['299']
['65']
['66']
['71']
['156']
['76']
['224']
['78']
['79']
['97']
['199']
['426']
['85']
['243']
['86']
['87']
['89']
['169']
['91']
['133']
['94']
['153']
