['218', '79', '88', '12', '49', '9', '124', '260', '206', '164', '272', '414']
['210', '23', '60', '78', '287', '205', '239', '267', '328', '373', '403', '422']
['356', '73', '99', '18', '111', '90', '157', '209', '223', '295', '212', '313']
['392', '127', '71', '187', '190', '213', '300', '298', '169', '216', '289', '243']
['341', '133', '265', '160', '254', '438', '406', '376', '416', '350', '444', '335']
['261', '37', '131', '140', '98', '292', '163', '459', '463', '323', '443', '375']
['346', '32', '25', '149', '145', '141', '146', '177', '244', '232', '278', '382']
['236', '100', '1', '91', '165', '220', '170', '311', '279', '238', '320', '357']
['120', '6', '26', '20', '115', '171', '200', '202', '423', '421', '318', '383']
['7', '54', '119', '40', '186', '219', '368', '462', '418', '451', '386', '360']
['188', '36', '248', '195', '467', '437', '317', '324', '402', '447', '327', '424']
['134', '255', '293', '251', '455', '372', '440', '460', '332', '426', '319', '390']
['435', '50', '142', '63', '400', '245', '208', '182', '166', '176', '304', '240']
['369', '2', '172', '234', '269', '314', '315', '379', '398', '389', '354', '342']
['183', '86', '128', '247', '193', '173', '273', '441', '404', '333', '384', '367']
['464', '94', '14', '144', '48', '8', '302', '274', '299', '263', '305', '329']
['57', '51', '69', '259', '227', '270', '391', '461', '370', '431', '336', '420']
['262', '117', '105', '143', '148', '38', '116', '107', '151', '118', '199', '181']
['121', '61', '42', '24', '237', '189', '291', '249', '286', '353', '378', '344']
['281', '130', '75', '29', '70', '110', '35', '92', '154', '306', '277', '268']
['95', '129', '135', '125', '297', '201', '230', '296', '179', '316', '453', '358']
['301', '150', '132', '96', '112', '72', '214', '222', '434', '312', '381', '345']
['52', '80', '101', '225', '325', '433', '365', '363', '374', '446', '445', '226']
['432', '139', '303', '256', '417', '427', '449', '355', '395', '413', '456', '321']
['65', '155', '31', '46', '275', '161', '380', '466', '410', '430', '351', '393']
['412', '34', '81', '4', '113', '67', '109', '178', '252', '168', '207', '174']
['241', '103', '89', '66', '27', '55', '84', '3', '203', '271', '330', '340']
['450', '43', '13', '16', '28', '309', '159', '224', '258', '339', '397', '337']
['64', '62', '76', '85', '5', '283', '198', '246', '294', '180', '192', '408']
['366', '59', '153', '68', '74', '30', '147', '276', '184', '185', '349', '442']
['409', '15', '122', '0', '17', '11', '123', '211', '162', '457', '377', '348']
['282', '56', '97', '257', '465', '415', '411', '362', '452', '425', '454', '405']
['387', '21', '83', '250', '197', '290', '167', '343', '388', '436', '429', '352']
['10', '45', '152', '39', '288', '221', '347', '364', '385', '458', '361', '401']
['93', '310', '285', '308', '231', '396', '448', '371', '439', '331', '394', '334']
['284', '47', '77', '19', '228', '196', '338', '407', '359', '326', '419', '428']
['138', '137', '102', '53', '126', '106', '41', '158', '175', '229', '156', '108']
['399', '104', '33', '87', '114', '82', '44', '136', '242', '266', '235', '204']
['322', '22', '58', '233', '307', '253', '215', '217', '264', '191', '280', '194']
