['375', '15', '35', '55', '75', '95', '115', '135', '155', '175', '195', '215', '235', '255', '275', '295', '315', '335', '355', '362']
['379', '363', '365', '366', '367', '368', '369', '370', '371', '372', '373', '374', '376', '377', '378', '19', '39', '59', '79', '99']
['382', '119', '139', '159', '179', '199', '219', '239', '259', '279', '299', '319', '339', '359', '2', '22', '42', '62', '82', '102']
['389', '122', '142', '162', '182', '202', '222', '242', '262', '282', '302', '322', '342', '380', '381', '383', '384', '385', '386', '387']
['391', '388', '390', '392', '393', '394', '9', '29', '49', '69', '89', '109', '129', '149', '169', '189', '209', '229', '249', '269']
['395', '289', '309', '329', '349', '11', '31', '51', '71', '91', '111', '131', '151', '171', '191', '211', '231', '251', '271', '291']
['396', '311', '331', '351', '16', '36', '56', '76', '96', '116', '136', '156', '176', '196', '216', '236', '256', '276', '296', '316']
['397', '336', '356', '17', '37', '57', '77', '97', '117', '137', '157', '177', '197', '217', '237', '257', '277', '297', '317', '18']
['398', '38', '58', '78', '98', '118', '138', '158', '178', '198', '218', '238', '258', '278', '298', '318', '338', '358', '3', '23']
['399', '43', '63', '83', '103', '123', '143', '163', '183', '203', '223', '243', '263', '283', '301', '304', '305', '306', '307', '308']
['303', '310', '313', '314', '323', '12', '32', '52', '72', '92', '112', '132', '152', '172', '192', '212', '232', '252', '272', '292']
['312', '300', '332', '5', '25', '45', '65', '85', '105', '125', '145', '165', '185', '205', '225', '245', '265', '285', '320', '321']
['325', '324', '326', '327', '328', '330', '333', '334', '345', '340', '341', '344', '346', '347', '350', '353', '354', '8', '28', '48']
['337', '68', '88', '108', '128', '148', '168', '188', '208', '228', '248', '268', '288', '0', '20', '40', '60', '80', '100', '120']
['343', '140', '160', '180', '200', '220', '240', '260', '280', '1', '21', '41', '61', '81', '101', '121', '141', '161', '181', '201']
['348', '221', '241', '261', '281', '4', '24', '44', '64', '84', '104', '124', '144', '164', '184', '204', '224', '244', '264', '284']
['352', '6', '7', '10', '13', '14', '26', '27', '30', '33', '34', '46', '47', '50', '53', '54', '66', '67', '70', '73']
['357', '74', '86', '87', '90', '93', '94', '106', '107', '110', '113', '114', '126', '127', '130', '133', '134', '146', '147', '150']
['360', '153', '154', '166', '167', '170', '173', '174', '186', '187', '190', '193', '194', '206', '207', '210', '213', '214', '226', '227']
['361', '230', '233', '234', '246', '247', '250', '253', '254', '266', '267', '270', '273', '274', '286', '287', '290', '293', '294']
['364']
