['168', '9', '63', '88', '131', '380', '251', '245', '364', '313', '470', '434', '391', '456', '414', '448', '472']
['87', '481', '431', '13', '44', '307', '140', '384', '238', '179', '471', '315', '195', '223', '224', '372', '494']
['138', '284', '234', '190', '25', '69', '120', '430', '417', '206', '147', '334', '306', '271', '198', '433', '158']
['231', '269', '186', '188', '39', '43', '136', '218', '228', '348', '468', '450', '416', '241', '264', '400', '362']
['385', '27', '64', '94', '203', '216', '225', '304', '418', '424', '419', '438', '479', '478', '22', '183', '166']
['54', '289', '221', '177', '262', '454', '117', '474', '392', '341', '422', '122', '473', '20', '37', '50', '52']
['58', '296', '356', '214', '205', '84', '115', '116', '153', '366', '237', '78', '175', '6', '70', '199', '343']
['96', '267', '425', '107', '305', '114', '247', '194', '443', '368', '159', '137', '8', '86', '270', '193', '484']
['148', '156', '316', '317', '285', '170', '331', '12', '106', '108', '164', '346', '322', '169', '355', '320', '277']
['167', '444', '318', '309', '72', '130', '210', '215', '243', '483', '327', '404', '495', '442', '19', '35', '42']
['254', '53', '65', '82', '236', '244', '374', '261', '282', '336', '462', '302', '437', '402', '23', '49', '100']
['255', '102', '149', '263', '301', '325', '357', '423', '407', '475', '386', '469', '465', '7', '38', '51', '162']
['335', '124', '490', '298', '299', '118', '487', '421', '451', '371', '4', '17', '26', '28', '46', '55', '85']
['73', '105', '427', '222', '319', '460', '202', '281', '66', '67', '76', '109', '111', '151', '252', '345', '338']
['119', '398', '387', '360', '272', '45', '47', '128', '171', '185', '209', '217', '464', '409', '432', '351', '312']
['161', '411', '2', '97', '112', '480', '440', '499', '337', '393', '408', '381', '383', '445', '295', '16', '24']
['227', '30', '60', '103', '152', '200', '333', '310', '354', '379', '297', '329', '80', '83', '165', '187', '192']
['235', '239', '291', '377', '458', '369', '350', '382', '1', '56', '81', '143', '144', '146', '176', '178', '197']
['280', '447', '496', '395', '488', '75', '104', '172', '213', '226', '233', '314', '326', '344', '353', '89', '129']
['286', '134', '145', '181', '292', '323', '455', '486', '467', '453', '493', '492', '59', '61', '155', '182', '220']
['340', '256', '268', '308', '311', '347', '436', '457', '477', '33', '62', '77', '150', '157', '174', '207', '229']
['378', '266', '375', '403', '491', '48', '98', '135', '211', '275', '276', '283', '288', '349', '358', '412', '446']
['429', '466', '476', '14', '99', '452', '324', '257', '449', '330', '294', '426', '249', '184', '34', '40', '126']
['461', '173', '258', '259', '332', '435', '370', '278', '3', '15', '29', '31', '57', '79', '93', '189', '230']
['485', '321', '352', '497', '36', '68', '90', '127', '142', '160', '180', '201', '253', '290', '401', '0', '5']
['489', '10', '11', '18', '21', '32', '41', '71', '74', '91', '92', '95', '101', '110', '113', '121', '123']
['125', '132', '133', '139', '141', '154', '163', '191', '196', '204', '208', '212', '219', '232', '240', '242', '246']
['265', '248', '250', '260', '273', '274', '279', '287', '293', '300', '339', '342', '359', '361', '363', '367', '373']
['303', '376', '388', '389', '390', '394', '396', '397', '399', '405', '406', '410', '413', '415', '420', '428', '439']
['328', '441', '459', '482', '498']
['365']
['463']
