['c2', 'y8', 'c4', 'q1', 'q7', 'c6', 'c10', 'g6', 'p10', 't6']
['q9', 'l6', 'j5', 'w10', 'y3', 'w8', 'o7', 'y6', 'e9', 'r5']
['m1', 'r7', 'r8', 'q8', 'x8', 'a4', 'w1', 'h8', 'h6', 'h4']
['q4', 'a3', 'k10', 'u5', 'u4', 'u6', 'c3', 'c9', 'x2', 'j3']
['a8', 'f3', 'f4', 'b5', 'w4', 's3', 'd6', 'k4', 's7', 's5']
['l4', 'k6', 'b10', 'f9', 'g3', 'p1', 'f2', 'v1', 'v7', 'p6']
['s9', 'c7', 'p4', 'p8', 'x9', 'n1', 'n4', 'n5', 'd4', 'q3']
['n6', 'q2', 'q5', 'q6', 'p9', 'o10', 'h1', 'b4', 'a9', 'b6']
['r9', 'b7', 'b1', 'd5', 'b9', 'k3', 's1', 'd10', 'u2', 'm5']
['u9', 'k1', 'm2', 'o6', 'o5', 'r10', 'o2', 'i8', 'g5', 'w5']
['n9', 'a2', 'q10', 'a7', 'a6', 'v9', 'k7', 'e3', 'e2', 'o4']
['j2', 't8', 't9', 't7', 'p5', 't3', 'x10', 'f10', 'l8', 'd9']
['b2', 'y1', 'y2', 'd3', 'd1', 'm10', 'e8', 'l5', 'w6', 'w2']
['r1', 'b8', 'o1', 'e6', 'a5', 'h2', 'u8', 'u3', 'm7', 'm3']
['h9', 'k9', 'm8', 'i9', 'i5', 'i4', 'v8', 'v5', 'x7', 'p7']
['h5', 'h10', 'n2', 'g10', 'v10', 'y7', 'j8', 'f5', 'f7', 'j4']
['u1', 'b3', 'l10', 'c5', 'k5', 'o3', 'j6', 'g4', 'v4', 'x5']
['c8', 'r4', 't5', 't2', 'i10', 'i6', 'y10', 'l9', 'j10', 'g8']
['f8', 'x4', 't4', 'l3', 'l1', 'd2', 'e5', 'w7', 's2', 'p2']
['v3', 'a10', 'g1', 'a1', 'x6', 'k8', 'n3', 'y9', 'd8', 'y5']
['d7', 'g9', 'l7', 'y4', 'u7', 's4', 'i1', 's10', 'r2', 's8']
['e10', 'l2', 'n10', 'w9', 'e7', 'h7', 'x1', 'm6', 'u10', 's6']
['x3', 'o9', 'e1', 'n7', 'm9', 'f1', 'i2', 'n8', 'g2', 'p3']
['c1', 't1', 'r6', 'r3', 'f6', 'm4', 'g7', 'j7', 'v6', 'v2']
['j9', 'o8', 'i7', 'e4', 'j1', 'w3', 'h3', 't10', 'i3', 'k2']
