['386', '3', '5', '13', '15', '17', '21', '22', '23', '29', '32', '33', '35', '36', '37', '38', '39', '41', '42', '43', '44']
['52', '45', '54', '55', '59', '62', '63', '64', '65', '66', '67', '68', '71', '72', '75', '76', '78', '84', '85', '89', '93']
['308', '94', '95', '98', '100', '101', '103', '105', '106', '110', '114', '115', '118', '119', '120', '121', '125', '127', '129', '130', '138']
['97', '143', '144', '146', '150', '151', '154', '156', '159', '163', '164', '166', '174', '175', '178', '180', '183', '185', '187', '188', '189']
['346', '190', '191', '192', '193', '195', '196', '197', '200', '202', '203', '205', '206', '207', '209', '212', '213', '216', '218', '219', '221']
['108', '222', '223', '225', '229', '230', '231', '232', '234', '236', '238', '239', '240', '241', '242', '244', '246', '251', '252', '253', '254']
['69', '259', '260', '261', '268', '270', '274', '275', '278', '281', '284', '285', '288', '289', '293', '296', '298', '307', '310', '313', '314']
['142', '315', '319', '321', '322', '324', '325', '331', '335', '338', '339', '343', '345', '354', '356', '360', '361', '364', '368', '369', '370']
['245', '371', '372', '373', '374', '376', '378', '381', '382', '383', '384', '387', '389', '390', '391', '393', '394', '395', '399', '14', '19']
['347', '20', '25', '26', '28', '30', '34', '46', '48', '51', '53', '57', '58', '70', '74', '77', '80', '83', '92', '96', '99']
['116', '104', '107', '117', '122', '128', '132', '134', '136', '137', '140', '145', '148', '149', '153', '157', '158', '160', '165', '167', '171']
['1', '173', '181', '182', '184', '198', '199', '201', '204', '208', '210', '214', '227', '228', '233', '235', '247', '249', '257', '263', '269']
['194', '272', '276', '277', '279', '283', '290', '292', '294', '300', '306', '309', '316', '323', '327', '334', '336', '341', '348', '351', '352']
['220', '353', '357', '358', '366', '367', '377', '379', '380', '388', '392', '396', '400', '8', '18', '24', '27', '31', '50', '56', '60']
['297', '73', '79', '81', '87', '91', '102', '109', '113', '124', '133', '139', '162', '169', '172', '176', '177', '186', '215', '217', '224']
['256', '248', '258', '264', '267', '271', '286', '287', '291', '295', '303', '305', '311', '328', '330', '332', '340', '355', '359', '365', '398']
['362', '6', '9', '11', '16', '49', '88', '111', '123', '179', '226', '250', '265', '273', '299', '312', '317', '320', '333', '342', '349']
['4', '350', '385', '2', '12', '40', '131', '135', '155', '161', '170', '211', '255', '262', '266', '301', '302', '304', '344', '397', '10']
['47', '86', '141', '168', '243', '282', '318', '329', '337', '82', '90', '112', '126', '280', '326', '363', '375', '152', '7', '147', '237']
['61']
