['117', '10', '27', '35', '53', '76', '94', '95', '101', '441', '499', '375', '392', '192', '424', '385', '415', '468', '496', '493', '453', '287', '339', '286', '485', '367', '179', '374', '479', '464', '435', '422', '440', '142', '494', '233', '497', '351', '495', '151', '182', '436', '372', '181', '410']
['321', '426', '205', '333', '334', '2', '23', '25', '51', '56', '75', '119', '126', '137', '171', '173', '174', '180', '185', '190', '197', '230', '267', '276', '277', '279', '290', '306', '312', '462', '346', '466', '326', '332', '442', '431', '418', '380', '371', '428', '454', '433', '327', '341', '343']
['358', '404', '486', '337', '39', '74', '150', '158', '160', '291', '315', '425', '407', '389', '370', '444', '482', '359', '409', '44', '57', '97', '357', '281', '325', '369', '278', '144', '20', '60', '64', '73', '123', '145', '198', '204', '213', '269', '275', '289', '316', '318', '352', '354', '360']
['111', '361', '419', '490', '366', '459', '478', '472', '395', '474', '446', '463', '489', '394', '396', '55', '109', '330', '217', '344', '384', '393', '40', '63', '66', '81', '225', '405', '434', '335', '296', '247', '469', '1', '106', '124', '167', '12', '21', '29', '46', '71', '82', '131', '146']
['363', '169', '170', '196', '232', '243', '274', '285', '288', '304', '305', '331', '379', '467', '447', '362', '365', '437', '458', '373', '432', '450', '353', '460', '355', '483', '226', '387', '14', '127', '139', '186', '307', '323', '329', '449', '36', '102', '105', '376', '451', '317', '208', '413', '183']
['84', '470', '398', '461', '0', '3', '4', '5', '6', '7', '8', '9', '11', '13', '15', '16', '17', '18', '19', '22', '24', '26', '28', '30', '31', '32', '33', '34', '37', '38', '41', '42', '43', '45', '47', '48', '49', '50', '52', '54', '58', '59', '61', '62', '65']
['244', '67', '68', '69', '70', '72', '77', '78', '79', '80', '83', '85', '86', '87', '88', '89', '90', '91', '92', '93', '96', '98', '99', '100', '103', '104', '107', '108', '110', '112', '113', '114', '115', '116', '118', '120', '121', '122', '125', '128', '129', '130', '132', '133', '134']
['257', '135', '136', '138', '140', '141', '143', '147', '148', '149', '152', '153', '154', '155', '156', '159', '161', '162', '163', '164', '165', '166', '168', '172', '175', '176', '177', '178', '184', '187', '188', '189', '191', '193', '194', '195', '199', '200', '201', '202', '203', '206', '207', '209', '210']
['338', '211', '212', '214', '215', '216', '218', '219', '220', '221', '222', '223', '224', '227', '228', '229', '231', '234', '235', '236', '237', '238', '239', '240', '241', '242', '245', '246', '248', '249', '250', '251', '252', '253', '254', '255', '256', '258', '259', '260', '261', '262', '263', '264', '265']
['400', '266', '268', '270', '271', '272', '273', '280', '282', '283', '284', '292', '293', '294', '295', '297', '298', '299', '300', '301', '302', '303', '308', '309', '310', '311', '313', '314', '319', '320', '322', '324', '328', '336', '340', '342', '345', '347', '348', '349', '350', '356', '364', '368', '377']
['487', '378', '381', '382', '383', '386', '388', '390', '391', '397', '399', '401', '402', '403', '406', '408', '411', '412', '414', '416', '417', '420', '421', '423', '427', '429', '430', '438', '439', '443', '445', '448', '452', '455', '456', '457', '465', '471', '473', '475', '476', '477', '480', '481', '484']
['157', '488', '491', '492', '498']
